"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
1,1.64693298829681,0.226108412631601,0.29937464557605,0.235900094823434,0.280087777096774,0.0336499536708026,0.091920370175823,0.13451966439483,-1770.56038843111
2,1.04874187929897,0.20350215951529,0.203105101083262,0.206077851115703,0.235970384861393,0.0387482866767028,0.421411183593226,0.15948290088623,-1668.07056896676
3,0.864137600680948,0.131993935123479,0.0274753374073959,0.20147700242819,0.137831831370797,0.043731357849511,0.330777460880121,0.190557182002601,-1597.40450524165
4,0.679328634858847,0.0532364883374541,0.00123271266664864,0.084011574661108,0.134380804222212,0.0468406899565044,0.311835521246564,0.16669506340682,-1569.50006536585
5,0.409817067317262,0.242921334423684,0.0085477057519197,0.138157230282758,0.144045087639802,0.0630990068096257,0.272397710596933,0.173627961155405,-1551.36876429666
6,0.109068389215165,0.507719291827309,0.00802151699411321,0.00862757255132239,0.105916361832654,0.0367436238279086,0.242153263000332,0.121549578953064,-1535.89091661008
7,0.0919574130935903,0.548108232499193,0.0175773096458054,0.0427591662095466,0.133527861702418,0.030999235344438,0.210178335729684,0.12933228480086,-1528.9585421994
8,0.0541733421920081,0.584584720677532,0.0145730335141201,0.015094416591726,0.167367240678625,0.0163433813698076,0.252412974340483,0.165084321104981,-1526.84963410389
9,0.0523179606348016,0.538372450134485,0.0118928335585519,0.0115779556816115,0.155666468622332,0.018892270735277,0.344974637985693,0.19492169083889,-1528.88286429444
10,0.0842129300431218,0.591497008391705,0.0189332969196782,0.0102325459241637,0.14936616492694,0.0164594466640568,0.269963367871143,0.183315928730317,-1528.80061349128
11,0.108339033713028,0.623260435911273,0.00776686943314555,0.0135387140371884,0.177638159919709,0.01502221215404,0.317997073040868,0.184856651578794,-1529.28016318224
12,0.104017672927583,0.563591506068648,0.0177087094832995,0.0180969938652654,0.15613862884548,0.0178968895463289,0.262312780446855,0.150448095394178,-1526.88944666733
13,0.0314248795605042,0.58662068845871,0.0175424086258246,0.0184422953593393,0.166802973766086,0.0180672434999342,0.289756786102483,0.158416998104543,-1526.60150172869
14,0.052863576271454,0.661063936614859,0.00568687790271867,0.031393618042704,0.162739409285192,0.030515438647096,0.254446079745746,0.135550526707396,-1529.92113838167
15,0.0538249263219281,0.550708068346988,0.0275253674466492,0.0234101110826675,0.165461807748122,0.0265922683910474,0.256445069354925,0.167841429905433,-1527.41361537237
16,0.0462873946290544,0.523008001567099,0.0179743946088813,0.0190309089915618,0.167397154800621,0.0221270554824128,0.239518001595459,0.173333355133992,-1527.72405650469
17,0.0655625402814902,0.610477025531257,0.0190180021713951,0.041290528674325,0.156700320094635,0.0209120919973537,0.311882595697289,0.164788342082245,-1529.06026042651
18,0.0758040164112519,0.574206938040141,0.00487272246198267,0.0304851776348708,0.156544559431212,0.0191295759672171,0.305279603898122,0.164845269886096,-1527.58071738766
19,0.0416993598346382,0.671515212113571,0.0231022271664422,0.0275585523636108,0.130010904924488,0.0300634866445312,0.270766654069973,0.151960283259157,-1530.68092690863
20,0.0817723111612544,0.590774993180716,0.00939980994000932,0.0242132135062161,0.135724131927725,0.0317984192260338,0.233543697334067,0.141525897240967,-1527.94100860869
21,0.0610533334041919,0.609092538985907,0.0331012693116974,0.0147917263518213,0.163192856421785,0.0257947158211965,0.292409363856974,0.185175555911411,-1529.53487941367
22,0.00869687195385533,0.549002283143114,0.0421695373058316,0.0352420113432447,0.151499669579622,0.023080647926133,0.35024483442135,0.189747358664746,-1533.6664952832
23,0.00498895429207176,0.557711464989049,0.0315936095010618,0.0484990194875888,0.159153968069441,0.0182063860552905,0.212026410035918,0.169830013105571,-1533.29217721435
24,0.0310350312974651,0.598691615284069,0.0232180050746393,0.00829815352192138,0.19921584910694,0.0379909460339886,0.235038596310031,0.132877889138312,-1534.55483499526
25,0.0467607015797228,0.575432877710781,0.0149562201731205,0.0162087972578581,0.141468023758276,0.028524427808125,0.220623437721054,0.166721243118993,-1528.54635187828
26,0.0897618079074299,0.523062474277924,0.00416644206253369,0.0359762151333669,0.147998011102425,0.0285980120420871,0.28039959337008,0.179571769163855,-1528.46611306582
27,0.0817775980111865,0.578558456247082,0.0230187508508247,0.0319177490559036,0.149279167976129,0.0215915444566415,0.26281857503193,0.135193801162359,-1527.95585888662
28,0.0248687537846513,0.491854720299282,0.0126735993073233,0.0352905489830205,0.162307214079125,0.0266335978045363,0.255929838933791,0.162560748535714,-1528.64820291122
29,0.0561576126882268,0.552345566089676,0.0127508287043437,0.0415954138378135,0.161344675946138,0.0185039606509243,0.283242057868374,0.147665501595929,-1527.66521457396
30,0.0610686541922035,0.561277812832827,0.00971418928915292,0.0378181229413016,0.152452584662087,0.0280509912661134,0.25107330256876,0.158259885393287,-1526.9507317841
31,0.0642771367567113,0.517187922179629,0.0148804813792902,0.0254312138540556,0.156889774978357,0.0181870051381704,0.305641758483325,0.134008580708071,-1529.35544544219
32,0.0916024395287056,0.56970124229544,0.0209159427174273,0.0401337709888601,0.202438007224808,0.014968041202974,0.184031126892028,0.148788248240171,-1535.35923571968
33,0.0876358844898667,0.654484631398873,0.0246032514757801,0.0156951495663987,0.187474714713391,0.0204883779565825,0.325586660630588,0.140160343343056,-1531.69614303364
34,0.0544300850816075,0.58300435479792,0.0259209050591202,0.0193731778227062,0.19469784534537,0.0228020655379036,0.227022310294266,0.135267844175566,-1528.75708434688
35,0.0756076524529426,0.582423059304945,0.0209067971589604,0.0457112154998838,0.200615662869039,0.0243812658200648,0.279047011430355,0.169924948763964,-1530.78053414275
36,0.0167232673505368,0.663359691821058,0.0104466717868716,0.0388527728374652,0.144998368417864,0.0183188180089521,0.319010955048884,0.168562948773846,-1531.46240950618
37,0.0435536267334187,0.60006034843711,0.00802360559405486,0.0228418349389903,0.183450868304432,0.0165105486554749,0.369910393808426,0.177331464625146,-1530.18003080231
38,0.070022983984656,0.537325334239045,0.00977412670794999,0.0304582284285397,0.160242694610151,0.0216781297921622,0.225164079591722,0.130672167408674,-1526.93013807831
39,0.109454338708314,0.53739601393316,0.011274008807905,0.0210301361521284,0.142206957412345,0.0230307778836346,0.232767775405025,0.130421703329176,-1527.34390601811
40,0.0467471878409484,0.553492887857148,0.00934598248321323,0.03375989802656,0.123248749462168,0.0303407614502673,0.226930581150724,0.119672326996215,-1530.42692680117
41,0.0927536769063204,0.591094391486412,0.0244717123710156,0.0261068305502096,0.121566566285019,0.0223166104783669,0.220378128206754,0.129743402100997,-1530.43645730426
42,0.0234096756165196,0.52140013334549,0.0195447289948636,0.0308902091505423,0.174848245449203,0.0211950911410129,0.205435255090931,0.115808331981688,-1529.73817565254
43,0.0332371270064917,0.493595574901367,0.0199430804306521,0.035367035179504,0.17755160398574,0.020365744927821,0.198137242197644,0.128318422616892,-1529.87876315384
44,0.0373413834562122,0.557448301599347,0.00918289053742018,0.0461331620215594,0.185361370925671,0.0126529829791478,0.297522594361671,0.186947413461799,-1530.88054384542
45,0.0581663749807792,0.433497109364374,0.00484711300377395,0.0312633252864162,0.151388990184307,0.0176270386131328,0.272160106763311,0.149725765104551,-1530.81115173846
46,0.128992783705899,0.43027702761866,0.0126536634437108,0.035162166573858,0.132620108151962,0.0279288694539229,0.215243615567277,0.117222212459722,-1531.88406183749
47,0.0599304930550369,0.587569619732695,0.0130927058515611,0.0307024171370171,0.232103948705137,0.033181780079088,0.208853085555424,0.131732952387425,-1535.61256834335
48,0.0361267221049721,0.603204753323572,0.0172110424448855,0.0185669071552764,0.099541977271048,0.0320753730016777,0.21308866056159,0.17841297877387,-1535.98500789409
49,0.118000921689429,0.430231513256048,0.0123721218175928,0.0602563189800366,0.165383093400088,0.0277507625251675,0.232511941406661,0.124588940922616,-1532.50907430454
50,0.0361427059363645,0.46816214496734,0.0369290704654995,0.116853813088709,0.115904878371542,0.0311680618814467,0.143050672876523,0.111328793389256,-1536.53670111355
51,0.0361750541539471,0.423078449935654,0.0356284489870092,0.13142654201781,0.130791269963902,0.0582674258673126,0.137047396282135,0.121728109458777,-1533.8783007445
52,0.0302561956616907,0.433316832777368,0.0357085959923687,0.118689325487193,0.0916749541247997,0.0593197956918777,0.149363937225218,0.131553644242013,-1534.96165635546
53,0.0701801035233806,0.294554532781656,0.0556707044115473,0.168878434025262,0.117783943975247,0.063043965666162,0.144355367101848,0.113320599470142,-1532.69932013383
54,0.143065956984802,0.25977301776079,0.00828554722676058,0.147643716991211,0.100394785822683,0.0610470218003261,0.148643979166813,0.122879029578852,-1535.9221862349
55,0.116472936600739,0.320461242144605,0.0247070289328281,0.169686412288181,0.0787713097067058,0.0471306984977643,0.167956140185459,0.132728923618994,-1537.04119284926
56,0.0601565801008143,0.37780427448514,0.0238573155939284,0.0896766098176959,0.158496169707646,0.0420200314441954,0.248638059023961,0.139816207126369,-1536.68551099133
