"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0839741323254103,0.00566054220031798,0.00559147040817342,0.00931514078156538,0.0394672869396784,0.028303176805108,0.0249641591415565,0.0861800194682005,0.0255337162645625,0.0145526060757044,-737.210016291656
2,0.0538132277622085,0.0446409781545009,0.0129407428103937,0.00123582492899187,0.062793661347106,0.0148581232396898,0.0598259241474559,0.0965910091782169,0.0199189390859695,0.0114313340408241,-719.077183782789
3,0.0570915264853161,0.0287470286441708,0.0226016461556094,0.0203679310634672,0.0542163547742213,0.0142076140555654,0.057647492694861,0.10549401534054,0.0152929657507355,0.00546948772606531,-718.494626581463
4,0.0308942843644213,0.0410303061828075,0.000763616368664336,0.0293769296481983,0.0721212001031892,0.00803739219608589,0.0566966440695231,0.106389981674937,0.0240367495057277,0.00282000098850124,-715.791617766517
5,0.0299526664415872,0.0280724503150978,0.0124310026554943,0.0275028378441468,0.0653328360477573,0.000523514486797327,0.0507276966143347,0.0804413431309322,0.0205508917259646,0.000760278189708516,-713.727504520678
6,0.0160996488516822,0.0291109690249844,0.0105151764672514,0.0392036890346514,0.0739780998396593,0.00498886071883368,0.0502172248084996,0.0929649713774883,0.0293705701580629,0.00149643342190097,-713.412826979713
7,0.0157711822579275,0.0332913284269027,0.00698652152115826,0.0146390905354775,0.0633090936161276,0.00570432728778941,0.0551814918418145,0.093683137412158,0.0254979238101219,0.00505331952278008,-716.380331959104
8,0.0416141254697041,0.0393529441051376,0.0335825265798914,0.0171608350505406,0.0692816574804533,0.00450256045826537,0.0432271011586741,0.0700743971060427,0.019559883874468,0.00168435068437869,-713.664043794627
9,0.0490904978186356,0.0259811198728962,0.0305294765424846,0.00556994717524325,0.0765137818786754,0.00250409906495454,0.0516763155517784,0.0829553058350174,0.0257104938355528,0.00258539663695078,-712.848451853685
10,0.0147894497038816,0.0370881998822263,0.0202482468114844,0.0138603203980767,0.0825460254874985,0.00613313640439429,0.051372476969916,0.0932549570874153,0.024641523949889,0.00346817786987945,-715.260924208082
11,0.0370902737476168,0.00811575848761788,0.0398566904030224,0.0177779023816467,0.0818928088458245,0.0044502321224873,0.0428481869345382,0.0856757440602412,0.015643585181734,0.00468067602872478,-713.98189225663
12,0.0438716796613912,0.0272275437121949,0.0177069996727124,0.0327104440285455,0.0819193422968745,0.00103559233599641,0.0575763313043121,0.101845360875453,0.0193135520583225,0.000196029990200233,-716.583101688725
13,0.0593588539318774,0.0264971368636131,0.000518374399111339,0.0279253319532941,0.0597538305407564,0.00305119020855666,0.068742574426593,0.137665574996772,0.0160809870278461,0.00107497854171045,-718.820335978548
14,0.0417854466063236,0.0269839029128282,0.000396219007281323,0.0309070458116707,0.0671518403201511,0.00326909306791575,0.0883934643364605,0.132579517122476,0.0279726456008738,0.00409898038999769,-716.634773605075
15,0.0305556371978376,0.019464645539067,0.038743119926135,0.0108500211694097,0.0681844463148663,0.00300259536378649,0.0979724543749162,0.133297530848479,0.0264461759118742,0.00480288180210884,-716.536264210529
16,0.0301798549429054,0.01711713307098,0.0247553545945277,0.011221802435763,0.0700369439265223,0.000780291780638192,0.106368494556754,0.137505353565653,0.0270016712601468,0.00106236734646265,-715.18478831043
17,0.0394647367242513,0.0237487848484744,0.0246713624091282,0.00160612576700519,0.0670441247538246,0.00147418004941962,0.112055778052379,0.143809081488371,0.0258333336944659,0.000161791533783847,-715.659961285211
18,0.0361565760237265,0.0240113051480514,0.0195943797477184,0.00129504403508807,0.0754850846938148,0.00159090424950134,0.0784576030656752,0.12506739845295,0.0212061464968533,0.00274267457953565,-714.001864745562
19,0.0373409635421022,0.0278191728447119,0.0206509536256866,0.0196044928153156,0.0706272830828052,0.00190722216623774,0.0880517555649474,0.114916866846149,0.0224924192316757,0.00161464031944003,-714.688338940342
20,0.019332276182466,0.0326920349753285,0.0452093682914835,0.00766625926743586,0.0720063028648752,0.00558583160894117,0.0714133688925092,0.126175344783413,0.0253990148125712,0.000841553708437833,-715.496565563265
21,0.0262073174879806,0.0371179480859971,0.0263552626836347,0.0153810022519294,0.0529300772421781,0.00468226972042695,0.0659973199257624,0.119606784184217,0.027824036126536,0.00519920704241261,-716.704697114445
22,0.026878780047588,0.0353338663553294,0.018253698881556,0.0210415342540865,0.0849301364800568,0.00271152675691165,0.0751468199565574,0.104126250088707,0.0220934102548596,0.00342244269016975,-716.213375333902
