"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0212410140993943,0.00528473744225924,0.00585519717642701,0.00933795826828703,0.0176652986434254,0.00853126520797901,0.0640897183845221,0.0110881267437046,0.00852192923185791,0.0331224814353604,-322.248875896637
2,0.00872761981355882,0.0210075024134372,0.00189005648405885,0.00396757821803116,0.0167596777197636,0.00297660428289644,0.019267231913221,0.0210032377516588,0.00365814565662458,0.014859810624058,-300.37113750574
3,0.0188670278271154,0.0220397717251555,0.00249674776882529,0.0300237653907875,0.0141766137329932,0.00107159135846501,0.0383247580903885,0.0227727063670123,0.00508879769062463,0.00055492954393951,-300.995986724351
4,0.0105917136271094,0.0192751159818075,0.00129153750365973,0.0189000365921119,0.0199291627190938,0.00285731513303662,0.0278058800612416,0.0324374513600238,0.00285125929222714,0.00747430640888451,-295.340539211712
5,0.00484476059050823,0.0148430481905632,0.00184856089641639,0.0275697616587082,0.0172269460206428,0.00132493197528894,0.0337757654095196,0.0305915887401328,0.00321945160160384,0.00536485659442805,-293.747826170682
6,0.0030339406338592,0.0211568342140644,0.00186598074790368,0.0270240314901237,0.0151891101418939,0.00744216152013796,0.0274248213397559,0.0414766610637446,0.00529511238889583,0.00065275212765687,-296.427202370205
7,0.00482707110964107,0.00875242911988169,0.00162697126952083,0.0204599959589171,0.0225671610214461,0.000587228696256367,0.0374231633201614,0.0362147678103954,0.00413942590599079,0.00563583184572181,-296.020384420813
8,0.0132552790623938,0.0140237843915946,0.00138411509096036,0.0303842261579986,0.018108620035882,0.000796722914479578,0.0338149769994297,0.0353347841473044,0.00348370190749175,0.00408937627229497,-295.791157765292
9,0.0161579808459494,0.0171749002794484,0.0017667674949866,0.000914999523420926,0.0228794062290533,0.0030364049498594,0.0321384289536202,0.0590265988104042,0.00157313982783437,0.000656712066717926,-299.633723025444
10,0.0133997368275331,0.0377489787194487,0.00120320160969453,0.00478556692027268,0.0118097919769551,0.00581418121481704,0.0307725088554189,0.060675204501303,0.00606833372195811,0.00162493019229705,-297.970920520157
