"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
1,0.0172374586829204,0.0180614773362947,0.0051023108121945,0.0338624493894244,0.0309754627544883,0.00428330132673619,0.0219329765307373,0.0359205735090859,-337.036248661464
2,0.0160269588747186,0.0345191139646506,0.00236839690339426,0.0126916272176334,0.018306720936118,0.00338574432337227,0.0293273184730155,0.0563372897896334,-334.839183697258
3,0.0241580529672317,0.04045603167415,0.00720444720896082,0.00174377298562703,0.0229126590870517,0.000503534180422554,0.0319792543177134,0.0654740737510054,-339.222767382282
4,0.0205842733468287,0.0592041550519143,0.0021524936776291,0.010374230982049,0.0247571949374304,0.0030026189710011,0.0196764446176061,0.0431271932172169,-338.791885674352
5,0.00816854581551223,0.0425987234072946,0.00254572195472461,0.0178048755810382,0.0181631842318597,0.0063078358905257,0.0163411197809752,0.0415516817569949,-336.403157014172
6,0.0130159094162695,0.0333265023127852,0.00222293914802721,0.0266333114062699,0.0302357860834077,0.000974845355444687,0.0212915820096589,0.0696621588551026,-338.800056882329
7,0.0143023601707147,0.0158336128434803,0.00103211103914397,0.0297016276151279,0.032875758199959,0.00163835465936243,0.0378196738527394,0.0360867228113727,-337.16999306965
8,0.0246217498901068,0.0222472089145032,0.00261697893286112,0.0330823863448412,0.0421580964279588,0.00697866929850707,0.0155416787364843,0.0407908407716863,-341.354142284121
9,0.0133811841307397,0.028473601104691,0.00642766943687732,0.0240210170386689,0.028718728213167,0.00725447681286865,0.0586605676379117,0.0712321297264709,-341.312554461479
10,0.00281207558748839,0.0458820513567334,0.00381272337246908,0.0224729379518146,0.0315867170196037,0.0092468624390291,0.036724734285669,0.0841211358577703,-340.33422364907
11,0.00380267425512143,0.0387607050863262,0.00550469326495376,0.0186822905593759,0.0295187134312695,0.00204938283003932,0.0347887097344343,0.0412018038016724,-335.786138412968
12,0.00398987936225817,0.0361270627270819,0.00224373512962177,0.0209209129992234,0.0202425363764838,0.0140971419113719,0.038649112558382,0.019159321579995,-337.946866716149
13,0.0235920852616787,0.0227975680913792,0.00278757042259483,0.0160200955628337,0.0185851216264484,0.011425793807574,0.0345227283884074,0.0417844294624151,-336.75003597033
14,0.0233329899419036,0.0280288377718898,0.00354505288772877,0.0247718479922437,0.021411295366352,0.00727307963833988,0.0215063304909605,0.0611553522142085,-336.75866740929
15,0.0258957245350336,0.0259755057844856,0.0042364509672644,0.0236921510219741,0.0196624461488785,0.00415134787322822,0.0389661076342839,0.06503801360305,-337.838819497139
16,0.00486845258163461,0.0471477450148166,0.00352392728877581,0.0319537622274977,0.0186211923615918,0.00448128982464977,0.0470294206732722,0.0294125444169001,-338.800062244473
