"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.190962749995445,0.240174431108631,0.00103497744636299,0.0135205741857518,0.0411851041259256,0.000308316978608996,0.0103765018918932,0.0556046034466281,0.0292540436705383,0.0152001508966077,-1119.59550427079
2,0.130464953048297,0.0946744970818957,0.00337429206040017,0.00635880003977899,0.0913761077517156,0.0038779638617109,0.00898152913885041,0.0358784507352754,0.0390504220019837,0.0224364568238198,-1073.49684101225
3,0.0287053824760686,0.10703274777013,0.00225184832618726,0.00936662057971369,0.0457655936950024,0.00754231899856107,0.00882330803268589,0.106239874338693,0.0794306421606376,0.050979039063005,-1058.47838861111
4,0.0162372275942894,0.0888249538247265,0.00186569431301376,0.00501878308911008,0.0570786542335276,0.000471833742686752,0.00776492282042103,0.0607509411239797,0.078395219390818,0.0283607312107558,-1049.04922557552
5,0.0218616447836327,0.0940133623982994,0.0169563154412008,0.00733467463762448,0.0565527787609107,0.00602684136361802,0.00891598946489562,0.00361494555809603,0.0824383192866404,0.0309284649523171,-1054.5771442619
6,0.0176209764215835,0.0784584877191502,0.0131122660341746,0.00603120213828665,0.0509067074634767,0.00678878152383576,0.00960178067484883,0.0788600286133941,0.0533857189020086,0.036284024215754,-1053.92576747362
7,0.034399620566559,0.102042364878817,0.0032434120556007,0.00387416457236265,0.0580120040027087,0.00734639094396997,0.00794030073183739,0.0650407794325478,0.0461041049438945,0.038564966200245,-1050.47568082371
8,0.034965035476494,0.0814937232184133,0.001471036043356,0.0023453379957064,0.054868484505907,0.00999790851263474,0.00507148359454992,0.0325727266410461,0.0538907072891778,0.0217065718586165,-1043.41739122705
9,0.0265155770329244,0.0730936139793623,5.07358624762299e-05,0.00179112617157614,0.0633715194969297,0.00727356663226623,0.00118806975994024,0.0356999338558687,0.0504480226258108,0.0140073540279587,-1037.17657140514
10,0.0352371766002206,0.0838949971727841,0.000979508068079148,0.00381801805873034,0.0559507697069816,0.00269564657605645,0.00025513702332734,0.0202870942043741,0.0664805675518639,0.0016787859552758,-1032.64621557487
11,0.0213967284419399,0.0903230330433729,0.000996442238346799,0.00352017630432667,0.0623803440062831,0.00428559732179717,0.000244474403676032,0.0334818145528642,0.0493588640112236,0.00246415832445392,-1033.96511429362
12,0.0396453989162188,0.0897828707144891,0.024817988693694,0.00918990004152436,0.0603293439484068,0.00741703216838734,0.000127517900330773,0.0675070620585288,0.0557242415422741,0.00353790770928506,-1038.50115763918
13,0.028052381983121,0.0912620225773812,0.0136850959115224,0.0096906883278262,0.0567219710449061,0.00631651195446686,0.000572439106632645,0.0265523239644902,0.0606825225179665,0.00870591437138958,-1035.35251771108
