"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0202547162438457,0.0113730260015262,0.0089640974081503,0.00379906621785552,0.0220440872032887,0.0147996014378572,0.00146465836177097,0.00393303393254455,0.00364743204793532,8.11847504682819e-05,-691.881806998035
2,0.0199683870770426,0.014310853421839,0.0112205611185985,0.00132868060157752,0.00847753694103761,0.00479194976809809,4.68241928873449e-05,0.000609874291444227,0.00187605527534539,0.00178560577040499,-664.915993275986
3,0.00227483827818543,0.0150866912705483,0.007474907288396,0.00170128259759687,0.00879618486129175,0.0337557388761205,2.78168941800137e-05,0.00208748489354642,0.00166322973291235,0.00065159178558514,-659.219361127453
4,0.00420075724399799,0.0172217322799613,0.00260094579424537,0.00085830338668412,0.0102046018330309,0.0100942064529164,0.000706521704736557,0.0138099245110547,0.00194401753465547,0.00854281316517137,-655.890820214714
5,0.00595240428913987,0.0156541353452691,0.00802024025232057,0.0225621647822772,0.0121889662432004,0.00909343482682002,0.000813350533194902,0.011457854314078,0.00174305897640676,0.0040164759683086,-661.827425370744
6,0.00611511609958474,0.0150930758453347,0.0033057034666019,0.0261366279694965,0.0103582465202032,0.0084684294216509,0.000234554283616054,0.012587058350666,0.00257534539357553,0.0046937940404592,-657.619193623438
7,0.00689409049446624,0.02168771870792,0.0123308475917414,0.0322612122862197,0.0115214461116551,0.0109167788012813,0.0004019714040366,0.0124203251365027,0.00328968435733003,0.00413408426777883,-661.089513144324
8,0.00118178212311423,0.0199348947824499,0.0229912638741849,0.0301228403983728,0.0114554758457679,0.00302367611078548,0.000423880466904751,0.00969736328096532,0.0031749519554958,0.000654422099163813,-661.509729651985
9,0.00923383969025783,0.0208507388862721,0.0175518988852856,0.00957674848995831,0.0103859383089404,0.000821482633478346,0.000415852126419877,0.0131902017142801,0.00278100630623806,0.00158919165589801,-657.671051058848
10,0.00607955683924634,0.0181317085353736,0.0259059143896327,0.00350175725280957,0.0103987637696923,0.000502565781151018,0.000330216803689538,0.00401119416463946,0.00431612255511662,0.000584858906891825,-654.215251028802
11,0.00422150038838767,0.0179873319500989,0.00569926874651434,0.00316987162486193,0.0100944776764841,0.00411139103715151,0.00013895671692116,0.00615490428709426,0.00236715962241642,0.000898805609849361,-649.501727359902
12,0.00420122065183202,0.0215408363224274,0.00610480185108297,0.00146131206528316,0.010195936385096,0.00999032699816043,0.000173338882091923,0.000784433688863979,0.00303570599619287,0.000617971255752288,-649.024370428681
13,0.00282025279901806,0.0204814720400861,0.00393953515456476,0.00521604704864276,0.010341803666626,0.0014941149597781,0.000216973773429877,0.0024999951250956,0.00340668170768625,0.0200722132395619,-651.795651152058
14,0.00415985227569073,0.0220575470666317,0.000339825983942731,0.00462414759831243,0.00997779670393104,0.0226296768432721,0.000558800581423059,0.0050173828419233,0.00335415851551245,0.00729440806500942,-654.876392941105
15,0.00491015082209906,0.0208037689167966,5.10305679230484e-05,0.00161740454594013,0.011993222501208,0.0221383677392407,0.000268693325747762,0.00247719887198319,0.00298828023717462,0.00166839521628617,-651.551346504771
16,0.00312342133931812,0.0222820576356763,0.00186201507744252,0.00251787853832359,0.00885262423037651,0.0112460911997681,0.000339360273362264,0.00354088307296941,0.00498511241698693,0.0052895463500262,-653.905872710422
17,0.00473109240358179,0.0194116595896172,0.0122470547498716,0.00341282778387733,0.0110848857704683,0.00815384594312718,7.15513536951251e-05,0.00220278545697922,0.00491546554467359,0.00521675787941675,-652.597452331734
18,0.00443996657614275,0.0195206772738933,0.00662786420785794,0.00301066673214143,0.00939031566572137,0.0146984377830904,0.00013351603173136,0.00514354045411663,0.00436587100318786,2.74556689320214e-05,-651.90613882975
19,0.00667049181317628,0.0202719570059699,0.00873767295580356,0.00157055100268929,0.0112329420190423,0.0145538625811807,0.000110344306732977,0.0120126238102959,0.0029873999621605,0.00430008872372938,-653.663166642332
20,0.00502820833588718,0.0193495311241304,0.00728151861597759,0.00438489148732255,0.0101536579482746,0.0129424875488062,4.501259933514e-05,0.0143155159935309,0.00288319465726391,0.00460522106396417,-652.6400278183
21,0.00385707074321976,0.0200454908362577,0.00359587342894181,0.00354561496407363,0.0112765232677422,0.00915502814106748,3.37011010122057e-05,0.0183113388578618,0.00190675319723703,0.00649412103666061,-652.596490060948
22,0.00344646854445865,0.0212882483893742,9.38595419186417e-05,0.000652698069758624,0.0104599716926275,0.0138649175761761,4.35528106204965e-05,0.0263111164023806,0.0022238180160532,0.00988818052163182,-653.805457674731
23,0.00369167853988601,0.0225489411664829,0.000974993495609146,0.000484013017172934,0.0110951096748994,0.015207646370727,1.84855719661328e-05,0.0314468952823451,0.00320875961050953,0.00156717732308194,-653.776528183713
24,0.00299482354153729,0.02040683205191,0.00340399169685867,0.00214663495111573,0.0118726394697568,0.00670134352865005,7.01618322088227e-05,0.0103792147253646,0.0018389197081025,0.00756857301185014,-651.334579822823
25,0.0042351797302786,0.0188919256976902,0.00416862973718195,0.0146807445726099,0.0104881846577087,0.00523896471715892,0.000167870384076271,0.0117359968156698,0.00356356250941165,0.0114635992717949,-653.894195304565
26,0.004625250990994,0.0183235034885677,0.00918984905047156,0.0113587408953384,0.0094104463788331,0.00578316710870624,6.95611966701161e-05,0.000280088633861434,0.00279432286543877,0.00528060996463021,-651.164703146957
27,0.00483156326035525,0.0169867270436646,0.00121817975675874,0.0111699290152407,0.0114593530393401,0.00321285376974085,4.48000840630291e-05,0.00333289942173678,0.00334009715659753,0.00497733654694627,-650.050935729204
28,0.00509338362035316,0.0179836807323639,0.00376027918958673,0.0120005497216229,0.0101683202235283,0.00185854827565145,6.47590883752509e-05,0.00499488670695715,0.00277159126826982,0.00113776297853344,-649.692476129004
29,0.00184559582225034,0.0215747886651965,0.000257752635997147,0.0150581420386349,0.00816935469633618,0.0110513524346555,0.000244534432789748,0.00501076380659996,0.002074404452103,0.0197337677547181,-658.056199700627
30,0.00525232841200087,0.0210678550401962,8.01450660464852e-05,0.00973069115939123,0.0143343654518026,0.00124293218209917,0.000320298787768629,0.00331260668422917,0.00370160222776248,0.0123342155641393,-654.405103898302
31,0.00537437692840901,0.0164961808963935,0.00042070420179998,0.00266169353315483,0.00820804239865786,0.00104137276432478,0.000421272345464717,0.00280461235705704,0.00406721134541879,0.0306166207788618,-656.418612236882
32,0.00294165623386013,0.0185714003689983,0.00211657437030851,0.00614057195686007,0.00972371410507588,0.00155218447853929,0.000175014422652403,0.00236352831076719,0.002106301727544,0.0107448912325504,-650.597732218727
33,0.00249847099251554,0.0187775223364475,0.00195684953466815,0.0145896805335334,0.01196836527949,0.000866662925513595,0.00013522954403733,0.000362097645331104,0.00226607951483064,0.00288398045366823,-650.186452589355
34,0.00699570075410877,0.0195378616598749,0.00563897474623592,0.00639527687638036,0.0130123794715553,0.00370671794784401,6.55250396341657e-05,0.000888876053964497,0.00283918041784069,0.00289230759666218,-650.973706930257
35,0.00417727516591045,0.0197513729795729,0.0149548768193144,0.00249768329197017,0.0104325247483175,0.0044164131910581,1.05437188842733e-05,0.00934742397518177,0.003371222867348,0.00612882009704958,-651.215018349157
36,0.00381038339985777,0.0188241639399851,0.0044178163839483,0.00145802649503064,0.0100396176823112,0.00382895200940348,0.000312453233276069,0.00980052975720211,0.00308065931242459,0.00294711610437356,-650.223444885397
37,0.00480501760912715,0.0239207676614911,0.0130777395948565,0.000366063659707149,0.012213961465217,0.00526750322126521,0.000276968597481515,0.0105840309220372,0.00279552640968413,0.00215734921841866,-653.170613980949
38,0.00332327823099467,0.0213124118875003,0.0013470223658832,0.00414254184276603,0.0121220209278354,0.00347069425508661,0.000200673306114984,0.0113175208564083,0.00293418212244669,0.00197449252028969,-649.912513274365
39,0.00346386846397303,0.021214145995705,0.000171937044797097,0.00364530285494203,0.00900012853370483,0.00333909136776671,0.000450254228274444,0.00478319139266058,0.00269174070013122,0.00324521526573634,-650.197431392515
40,0.00230120853511542,0.0193988584595427,0.00206989133099959,0.00666111037790861,0.0106830212276065,0.00137470170033126,0.000672141627588211,0.00932130342750755,0.00313966651467451,0.00135639179273222,-652.276584217562
41,0.00577796813836177,0.0206258080414526,0.0065239573177343,0.00403203925020285,0.0125230740396692,0.00239480100652834,0.000230277191415765,0.00547524898685529,0.00231896025215747,0.0113931822117042,-652.57835237478
42,0.00452279590081337,0.0187226894791183,0.00127418902605421,0.00130339596128861,0.00923469635835945,0.00297152100720748,7.54529016523869e-05,0.00432516430686423,0.00275329813748369,0.0107554856982702,-649.274261191715
43,0.00608458311924323,0.019975361096725,0.00461669482017967,0.00922146844932989,0.0117884832462326,0.019170972583403,8.76294394680084e-05,0.00503756326954729,0.0032511130258628,0.00809339205485695,-654.262475570206
44,0.00198188898025287,0.0177449983751477,0.00656931923179542,0.00877054174868756,0.0100286900820454,0.0198201829983911,2.1044728587655e-05,0.00522211855624567,0.00321731032386567,0.00172832138198008,-653.84360960747
45,0.0110523012704047,0.0223865473158009,0.0160167699923307,0.011106941139901,0.0110668978293652,0.00875375570749417,3.20450654424168e-05,0.00524785850433239,0.00258778500277479,0.00101518306344335,-658.4265978321
46,0.00609415026769142,0.0198992564157676,0.011657693155604,0.00139585185718658,0.0109490292886137,0.00753241389891755,0.000201420205517938,0.00628739823492632,0.00441861828888585,0.0109207647272142,-654.341495381545
