"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.173103059686288,0.355523804036593,0.0900362196526955,0.127173577212504,0.32824249147804,0.108848578504944,0.162750626650168,0.278374572424812,0.0535255045205258,0.011092398044232,-1719.39525828158
2,0.0469563694451295,0.095770663591916,0.00728709012370347,0.12404252325249,0.0771620003911281,0.0515526272941962,0.171221118200893,0.12076542342842,0.118461071663275,0.0379092112008548,-1552.61262857081
3,0.0175388826809712,0.0977226234177803,0.0563028184188694,0.108741397563833,0.0837820542907709,0.0434106490729335,0.14606249360278,0.0958831350080118,0.124030862852588,0.0356533358449758,-1551.29211267199
4,0.0222555312536491,0.0969283908009416,0.0537857974443413,0.0911047459982717,0.0776905644079717,0.054815731273957,0.132406929762975,0.138714975898316,0.0964969233237436,0.0294078349319963,-1546.1999527918
5,0.000758688245210293,0.119874559899374,0.050972397555285,0.0887566047297219,0.0768278574884427,0.0611008799705827,0.163876452724413,0.132208372119548,0.0510589103963619,0.0342831821235597,-1543.16125764482
6,0.00420488712233621,0.127395335862984,0.0437495108972483,0.0853857563549589,0.0910557601329646,0.0438199466284636,0.174048645133246,0.118175103368436,0.0614235134996577,0.0182130329737963,-1539.0206591832
7,0.00918052318749103,0.138615116585082,0.0160509243088321,0.0943556246086696,0.0661300969795793,0.0551966285370538,0.158973856908489,0.152417004414561,0.073066514179864,0.0251421063440695,-1541.2029843534
8,0.00449390648437275,0.112209084919743,0.0180407527892738,0.0720847164144265,0.0619065387721594,0.0523703093009133,0.202244965435354,0.129389187981249,0.0877499060364518,0.0126179522702008,-1540.44556698339
9,0.00486049891152121,0.10158268932819,0.0210089998206045,0.0833216679671326,0.087503054473986,0.0248230403868552,0.157199196290161,0.142913228129976,0.087279231043422,0.0258547921309044,-1539.81238585351
10,0.00419541791581526,0.101519949375696,0.0172784017293641,0.0446327769006669,0.072853065367868,0.0336676169799327,0.16215482273705,0.140469046197309,0.0699614078644177,0.0410985224824501,-1538.65232937613
11,0.0220210806386442,0.0972362550504404,0.0205874692328905,0.0659166109591092,0.0919646639479851,0.0374846548235852,0.169288423838291,0.144456085621024,0.066475778051916,0.032209682646322,-1537.38053355869
12,0.0105562104049585,0.151848298361814,0.018746070348454,0.0429092880345909,0.0856799594331379,0.0336857648573413,0.132620227420021,0.07970956419474,0.0798459291081725,0.0365516015688264,-1537.78917277274
13,0.0103627708815574,0.145373451276006,0.029175423016284,0.0448566627435283,0.107370901183073,0.0392204799247911,0.108275607431629,0.103122354408062,0.0435754817897535,0.0304277003559198,-1537.19994845614
