"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.474837848857666,0.752945694558176,0.0231096283698022,0.0172545505136366,0.119892622422869,0.103640411419638,0.25331125517073,0.119067488171066,0.0559904912018148,0.012211700904117,-1664.27937047855
2,0.124997813941167,0.513572948609652,0.00886413300724333,0.0306017939543197,0.0802757846536527,0.0343265415482894,0.248235882787749,0.123350343109847,0.0480478437522798,0.0115179807087366,-1569.78068389526
3,0.109446372570845,0.257738509750836,0.0102427441423311,0.0226338139916131,0.0877043832809485,0.032940674840071,0.174560504022472,0.0890842987108574,0.0382612461822464,0.0271674981903443,-1551.56132083065
4,0.116733712717367,0.207275113998005,0.0105596685288626,0.0412583707657117,0.0879008099199899,0.0231477654199303,0.152568860081286,0.0998424218916666,0.0530888300413492,0.0283662376080052,-1550.59442476894
5,0.0172948863478265,0.225805701767306,0.0174520678165964,0.0397634301868581,0.0976682121166105,0.0357599533103875,0.143382080389073,0.125808839100084,0.061418027940706,0.0424954662884887,-1539.15247417091
6,0.018575226386858,0.233359029079493,0.0356686487368874,0.0405725959866357,0.0842848688147375,0.0403141178764015,0.183057104214415,0.132783963683345,0.0481890089963127,0.0141934655419174,-1538.82894155018
7,0.000636452600012434,0.201004222441442,0.0182661727110157,0.0460046028636562,0.0992998470917785,0.0372813950867063,0.186712290511402,0.148361589391075,0.100072769477164,0.0308481227586161,-1537.606050697
8,0.00353450831718463,0.11168060369302,0.0206271507252179,0.0760260404345976,0.0643301319440351,0.0400347482923983,0.166720554842132,0.117574726929318,0.0894793900171667,0.024263606300568,-1535.61392184365
9,0.00282315206790058,0.117008519384,0.0267566998441857,0.0715465137972007,0.109142722512281,0.0237914780803332,0.218388571368642,0.114634054961035,0.0705708174839193,0.0241488299229372,-1540.54840564093
10,0.00118831349485159,0.19580629490141,0.0119101223362171,0.0589484040762573,0.0881195619041584,0.0266575734227841,0.147465073451325,0.102768451486076,0.0522368926955128,0.0311252132358614,-1536.08873569178
11,0.00198106333908077,0.146671967132972,0.0350396862479634,0.0601802196842669,0.093026567722544,0.0268299541128244,0.15207819667523,0.114257850358642,0.0668026819745779,0.0305206503101583,-1534.68560792687
12,0.00453220394068653,0.153290647504021,0.0268108399468046,0.0407184751400661,0.0856964347000054,0.0260328055623975,0.1402761383694,0.109235398071897,0.0672855812122408,0.0301337155221851,-1534.93279071397
13,0.00297336225659733,0.169712133417337,0.0225731609968169,0.0440186768753187,0.0790835745481256,0.0286474508481485,0.149611240009326,0.111504615195824,0.0679513737322492,0.0191733149430432,-1534.40008805399
14,0.00723352997265179,0.181014299087274,0.0473741470458603,0.0448316895292715,0.0746893293186462,0.0438324158727898,0.128969913153693,0.0961204641246332,0.066959194060052,0.0224706607048332,-1538.77843329153
15,0.00268426624406096,0.132836356991904,0.0375725787103173,0.0512381836773102,0.0908150640531085,0.0496915422039167,0.13915740502,0.120123545042876,0.0755458476638146,0.023583795778892,-1535.53601275347
16,0.00312908512918624,0.123271698623715,0.0443344786795311,0.054465867581591,0.076956674760766,0.0354049200851435,0.194262779109631,0.170572375132125,0.0832709415900733,0.02354950354401,-1539.4465897492
17,0.00169275786387117,0.130411602636722,0.0332490240929282,0.0362526272934031,0.0850429093610212,0.039211290800461,0.223243292249592,0.165758347744389,0.0806109055339831,0.0198300045115656,-1538.60652193765
18,0.0232068085175848,0.123757525800776,0.0422532075749517,0.0484492345207088,0.100469446602026,0.0343286895043052,0.199104683570554,0.143490777662796,0.0942909005735513,0.0262431535932026,-1539.68793761834
19,0.0390451209444155,0.10227726653732,0.0111719040385301,0.0620758180687632,0.0673801386277785,0.0296821951432186,0.193489456075951,0.114424314994007,0.0596634205741087,0.0305000806412191,-1541.93095135918
20,0.0113349782768579,0.196989246960572,0.0263850587823154,0.0576540312262864,0.0996954485935848,0.0284325347453771,0.132845186526006,0.113665715826053,0.0556099196246108,0.0418556426895793,-1537.30407234135
21,0.000989170899413962,0.104091558527602,0.0177535391256338,0.0580688705977339,0.0863919766104599,0.043833930248763,0.135253935397436,0.111368000963311,0.0857289896190617,0.0241506727155179,-1535.46699658189
22,0.000531557700816791,0.194628113473902,0.0266403445134036,0.0581507329681253,0.0770242826774566,0.0341260442383473,0.129909770054289,0.12510934712896,0.0481974077438698,0.0212296133957681,-1536.21812094188
23,1.21620350428597e-06,0.136626635309566,0.0250828357685872,0.0655694579168346,0.0977340355345267,0.0520366450670912,0.174215567020619,0.100228416012632,0.0786727669574758,0.0103502650590783,-1539.80789155838
24,0.000146043595452307,0.138486123769714,0.0324002858963429,0.0554262949764098,0.0783524391282872,0.0540003223728306,0.153481598054443,0.110527806612851,0.11493514593233,0.0194458726872367,-1537.34527405837
25,0.000885802659947585,0.133630920714779,0.0232818325035297,0.0592370391875524,0.080685321728396,0.0512640032303894,0.135303578793792,0.0994487488240695,0.0785503045220033,0.0158672499124416,-1535.96845161429
26,0.0178742911814981,0.116379807437401,0.0248109256645726,0.0531943860137002,0.0722815441095573,0.0546082224786105,0.161370962168049,0.105987492100097,0.089587431959946,0.0334550891401619,-1538.00238198159
27,0.0342227110870841,0.143248877219967,0.0145437399335715,0.0577943694315347,0.0846926136713277,0.0552569944583973,0.128541651509291,0.128692709254947,0.0981753721004281,0.039814576253876,-1541.7333392819
