"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0152054801655474,0.0466630700490144,0.0254330089846875,0.0251343159994862,0.0559598582699653,0.00207839781192401,0.0216332782671159,0.0279192609870906,0.0251675398891219,0.00141544498665447,-931.485798638639
2,0.0145062116321428,0.0450212212803687,0.0267971625111088,0.0264647499822508,0.0520839131530613,0.00819351618861048,0.0352859844958527,0.0864606537187505,0.0240949023486581,0.00276314578023262,-923.027052358159
3,0.021219261779145,0.0117285749773265,0.0255739560992394,0.0233380740311335,0.0643781570018683,0.00588310528096024,0.086443562022069,0.0908789376855283,0.0349111623884056,0.00595269251080894,-919.813645930377
4,0.0281300086165506,0.0436835106324304,0.00314919340367134,0.0217531399446186,0.0722569041568684,0.00167883075088275,0.0625960641838109,0.0736793720550361,0.0254787736622253,0.00590476253918525,-918.665805897516
5,0.0196880441645468,0.0461563139298244,0.00591539476926212,0.0222247925068718,0.0695335487255224,0.00337707141222471,0.0625000017595166,0.0724605257232091,0.0287563613619298,0.00493783415932942,-916.286048228823
6,0.0154828072077906,0.0367622339832229,0.0434895046916056,0.00618184542532824,0.0857243013358076,0.00186651130148217,0.053246718277974,0.0594775083144715,0.0364607247323358,0.00310388059697994,-919.233365747335
7,0.0183238144867284,0.0373370042075532,0.0193293765836296,0.00838912456054618,0.0793932437266266,0.00301719468663025,0.0536072263613901,0.0895884395842368,0.0225253260003594,0.00825659250221347,-917.610631453738
8,0.0226085991047829,0.0353430280470411,0.020711984428775,0.0105054869513539,0.0635329857981523,0.0039233416439936,0.0754619161124514,0.0666599593746885,0.036334901907527,0.00166737370955811,-917.026105588467
9,0.0212818277406135,0.0334318027095807,0.0183778883275176,0.0262228120252413,0.087282976865976,0.004211406546503,0.0640957207002947,0.0855221121450684,0.0362363920721694,0.00412747042158577,-917.513849419669
10,0.0111142903047786,0.0381218470334277,0.0206961295557219,0.0295696167403209,0.0590965029101734,0.000782895928485693,0.05198108144723,0.0574399261168633,0.0230326228547003,0.00724470996966473,-918.596936757873
11,0.00862016822763687,0.0314033462647258,0.0242778378988062,0.0258805670271926,0.0747637365140321,0.00559953904090588,0.0502194830924381,0.0572187370231371,0.0208284218299711,0.00136863137711187,-918.724940575641
12,0.0097651102192463,0.0281765222945476,0.0206148087112348,0.0339852626054753,0.0879338531649157,0.00331706228166854,0.0407445904739703,0.0659890859887148,0.0279234395457133,0.000937492264148154,-918.896742070602
13,0.0100624383287683,0.0371363805245636,0.0186269765895328,0.0232216758771986,0.0683578743928869,0.00815774020463854,0.040715662541008,0.0717028054506169,0.0351563355179503,0.00361870019716907,-915.939667486877
14,0.01380946540968,0.0452110347990387,0.0107533662979044,0.0286228049577752,0.0613598951162558,0.00574789745767364,0.0478922673681261,0.0662473076855747,0.0367326843846923,0.00259483055403672,-915.255754045521
15,0.0085107249374464,0.0457126081293539,0.0108342456528268,0.0212151419122603,0.0742304539273237,0.0100408491350912,0.0443111711430463,0.0627231435721621,0.0371383198847533,0.00359194290503445,-917.113998332744
16,0.0247390669138035,0.031028258500967,0.04336855686064,0.0188638930602907,0.073543271590804,0.00883543674325441,0.0644770232980624,0.0874135104607478,0.0329166304441413,0.00186961759990919,-919.174814707723
17,0.0179530240535297,0.0238885700216491,0.0507722375922671,0.0137399509901789,0.0559719797346812,0.00239172300840923,0.057648114395581,0.0805759156513198,0.030010603316132,0.00266939951351062,-919.11873981648
18,0.00422100472848064,0.0418996139490255,0.0366126440689691,0.00907146270802677,0.0755820447904305,0.00475412263583211,0.0597417156862601,0.0785588197944,0.0325383162919107,0.00196790202597639,-916.940516795618
19,0.00471347102989713,0.0553654105902295,0.0215959613395999,0.00518261519259202,0.0631892963796992,0.00893744346389424,0.0567403545564774,0.0827016437698404,0.0244493377634473,0.00117004509601208,-919.727112678079
20,0.0334494910821971,0.0469114260991447,0.0250175116179176,0.00471939483344281,0.0651667200925955,0.00586859024346892,0.0646610126336258,0.0687766726022958,0.0364408473908454,0.00654862830299696,-918.710633933886
21,0.0263255917296835,0.0401211220076856,0.0198340304612388,0.00930501483242288,0.0662178954658739,0.00503823167199924,0.0654194819259887,0.08285396994548,0.0242092634072848,0.0030509209070803,-915.122886592754
22,0.0182092877922886,0.0331954549445051,0.0296715806130851,0.020256581087061,0.0601490281370502,0.00719908783261671,0.0571064147526643,0.0652662877518798,0.0298267414767543,0.00518178377496883,-915.481314305582
23,0.0165485118730322,0.019665220007393,0.0333623520034791,0.0169971933218387,0.0726128720463054,0.00918678919069487,0.04030444621497,0.0736620084654222,0.0294442886677395,0.0057770304398639,-915.997573861626
24,0.0142716922048698,0.0204946057261701,0.0215311160918147,0.0241455458866472,0.0737576698017656,0.00593526138844124,0.0490918102960911,0.0649078951333152,0.0298517022512216,0.004589530146243,-914.627438672419
25,0.0206336007241935,0.0498592687130641,0.00452927896244455,0.0270432481921844,0.0610952946195732,0.00484699621595053,0.035933165432526,0.0503245037897849,0.0260391258248356,0.0134813484643779,-921.203143759026
26,0.0258707094483985,0.0308395674049888,0.0206772852433735,0.0156066217444581,0.0630226074128802,0.00579573189839732,0.0317278001817663,0.0489741164538998,0.0245620853194393,0.00418328822671972,-915.486079831171
27,0.0213628575648438,0.041342871991959,0.0311696636775493,0.0089338160186035,0.0689378691394246,0.00256333373386417,0.0427184964024901,0.060602936724064,0.0257064374719178,0.00550794059642112,-915.211750582901
28,0.019066589583137,0.0430066748503205,0.0231696466108623,0.00685285925374228,0.0689108722602076,0.00352912785460566,0.0672382317962591,0.0739344628144291,0.0223701607068842,0.00810221697791491,-916.27088569774
