"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.00334808423010569,0.0186782344321912,0.00163291387615238,0.00897274018205547,0.0091676591225354,0.0242908287656259,0.0111760462908753,0.0136240444959926,0.0034866495242291,0.00767174526373127,-1299.52676872718
2,0.00526997056791389,0.0196230797894273,0.00050539263328927,0.0159388294763437,0.00663844475545519,0.0261888681986124,0.0111289346764886,0.02667630394063,0.00186235704488643,0.00649474325387471,-1299.55458914302
3,0.00903331467063513,0.0152873821047255,0.000893615449042011,0.0202373803349891,0.00779221566728508,0.00946294306952656,0.0148657747618453,0.0296484208666254,0.00154523349064349,0.00875312875221498,-1292.47220753729
4,0.00616819820052712,0.0189274235081783,0.000491765844539083,0.0125383116566959,0.00980306912849363,0.00624067340020453,0.0149180399760519,0.0273851496811284,0.00254961433924202,0.00936634960758567,-1287.33748517974
5,0.00236621614559663,0.0205291170223827,0.00177590461307833,0.00872676300038484,0.00958023273834449,0.0098257095693029,0.0141779601231181,0.0289723546586759,0.00358256640015622,0.00510445424219611,-1287.28975130866
6,0.00696781513860684,0.0233812533959673,0.000578559719252695,0.00946171330108445,0.00918878204861012,0.00980177932535788,0.00944195404300904,0.0242799325645755,0.00296038495398908,0.00333124959856293,-1289.56504272875
7,0.00547455007212499,0.0175437728980102,0.00174114252435746,0.0148702937452999,0.00974776573908511,0.0111410099662582,0.0145094345427832,0.0229466909401529,0.00379289546257914,0.0074865972361606,-1287.46819437995
8,0.00496845079283267,0.0200507969645856,0.0018974311943362,0.0126284327293438,0.00964172629067629,0.00643980273505797,0.0110677681004705,0.0263336495016305,0.00332036457947798,0.00401309751277675,-1283.3812806515
9,0.00579520980597314,0.0180212314733779,0.00157028807514334,0.0112367447706293,0.00898618849861515,0.00722148345253006,0.0131255802944701,0.0209688910269467,0.00308251883803442,0.00467827650686909,-1283.79462628466
10,0.00302796600097148,0.0191464394683784,0.000880124813597714,0.0164572283323732,0.0108961654611009,0.00502334004046608,0.0120513507782594,0.0304910455029906,0.00319474717015168,0.00551700044273158,-1284.78194233599
11,0.00666002593188346,0.0137619467495049,0.00455221372365034,0.0107005999637258,0.0100087216127965,0.00509140722898753,0.0102682541457567,0.0267952372214648,0.00300789652088868,0.0033811238189719,-1289.25766497333
12,0.00447614922498336,0.0203617771594629,0.00413285756675088,0.0163549656052371,0.00970882074306339,0.00694968726928954,0.0116802092337634,0.0186424270094655,0.00309355817415589,0.00459517728082491,-1283.89437484157
13,0.00701172323001496,0.019849523734373,0.00265082804592516,0.0201641158157708,0.0103999073938179,0.00857751021552194,0.0127105656257708,0.0284807146316791,0.00229123056447142,0.00606189491125914,-1287.1486675097
14,0.00301179042583919,0.0179096606402034,0.00291938293547257,0.0106701903050561,0.0101028840401744,0.00421855696023086,0.0103955331168541,0.0204844474744192,0.00210384146316373,0.00752869215060937,-1286.08613213309
