"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.00441387545337787,0.00408022001542047,0.000120536581720246,0.01813738685883,0.0233419409308071,0.00959932464225042,0.0567452563987858,0.0160680652987472,0.0187340696282459,0.000781631967691392,-395.718356671385
2,0.00363654253001934,0.0167872840439303,0.00310052890821025,0.00233317611438683,0.0198163442336723,0.0104919603006566,0.0375517408632577,0.0629606206471045,0.0172606767311939,0.00542297764423105,-376.084230509326
3,0.00242595486293217,0.0238357622709814,0.000903830858972641,0.00344778661849536,0.0157539002725747,0.000623129703361187,0.0408776472242391,0.0444841908825553,0.0185925272277583,0.0033354585633604,-369.171630522861
4,0.00650814785249618,0.019868113255854,0.00361800894923527,0.00133285174075018,0.0217703808722714,0.00157653886376018,0.0335143792607648,0.0499324520034429,0.00437665828214133,0.0018684649765294,-359.880498930291
5,0.00726475094508687,0.0350770722471663,0.000945325115572361,0.000137522360228749,0.0233351244561786,0.0035364623662308,0.0341556159329779,0.0489474410410986,0.00206636553448113,0.00113315956317026,-358.684525274031
6,0.00969895284092886,0.0316527664300526,0.00190010374688132,0.000286176999801384,0.0155764239782912,0.0024163846012945,0.0298846066168055,0.0378212299438958,0.0058696482098623,0.00131049749964769,-359.688098598753
7,0.000251034298284009,0.0272280844711162,0.00167566225497823,0.000418826274271975,0.0224475749080503,0.000399783714561439,0.0382686878516826,0.0521531913344711,0.00375707118902748,0.000675200303544988,-358.583697323894
8,0.0108553633177916,0.0268138404250183,0.000753383877058557,0.000536256628200891,0.0142804695316756,0.0036604276432277,0.0267043052315512,0.049455637654212,0.00323809386511008,0.00144205384408344,-358.521098729124
9,0.00529917545948604,0.022365086832702,0.000689529615370353,0.000410752232572351,0.0153714000229017,0.0020348265378658,0.0193417423835499,0.0455291871375702,0.00601572635690445,0.00318360291539666,-358.40716074562
10,0.00427855168347126,0.0248137394172922,0.000764750083082891,0.00451856539321389,0.0201260826655543,0.0018644032527539,0.0381166393533586,0.059883436293538,0.00608457734889476,0.0037186065268874,-361.592880567297
11,0.00460875919114848,0.0179356609356723,0.000397719496080074,0.00209797555482984,0.0170944240422936,0.00192740950933651,0.0237014748285263,0.0308974384390068,0.00311186226175025,0.000622863982141767,-359.358147157023
12,0.00374785940701801,0.0221838182489884,0.000560118497045335,0.00558842435068538,0.0261238948807488,0.00256985066057481,0.0221307125487603,0.0560558997486351,0.00334850737792609,0.00142841648597643,-360.505700245591
13,0.00543405135194848,0.0261296400374027,0.00144163697946202,0.00111333047467681,0.0294012829394193,0.0034540811984742,0.0280358796946667,0.0577950341888545,0.00418539243491132,0.00164280638375461,-360.160835896456
14,0.0010684920797881,0.0398622601078843,0.0003206384741454,0.000919206640750233,0.0298299170701609,0.00414890703323364,0.0173587147338843,0.0524594332154721,0.0043125303176733,0.000804904508788336,-362.46549146662
15,0.00488605630577656,0.0187091032282884,0.000139479495606781,0.0012042588567756,0.0112530918896774,0.00317805707124292,0.0490785109137122,0.0438616563897687,0.00380765963726328,0.00208409578210184,-361.908076328525
16,0.00529322888034025,0.0282244181409667,0.00149541725192032,0.00291214690569506,0.0115111917062958,0.00191600286059684,0.0137589051067163,0.0365795124553537,0.00676109330783109,0.000470633523099291,-363.702570105013
17,0.00227002256021506,0.0310915352310827,0.000653589848938766,0.00506241434883412,0.0219205108082186,0.00199020934082332,0.0107071120140561,0.0484620121449143,0.00446086773763309,0.00184837555406081,-362.679506189192
18,0.00344774361683755,0.0195143123753718,0.00309880593228681,0.00455916654803083,0.0197490750537873,0.000785326456227535,0.0130244897544266,0.0451271030646214,0.00362014569387395,0.00181908522160312,-361.379304535902
19,0.00193539287596374,0.0196298636117973,0.00224855250263039,1.16621290201891e-05,0.0152979660482869,0.00152181420144309,0.0326297007007309,0.0467269853687383,0.00342308238925065,0.0060965218947015,-361.002703660379
20,0.00580700473785947,0.0221137123041721,0.00309037041570564,0.000275202876094548,0.0237227664209667,0.00117079823142073,0.0342501241462182,0.0474599757028573,0.00161023230621595,0.00135337523492974,-359.296226415044
21,0.00344225057422689,0.0332399780341834,0.00127299856424933,0.000544785964086143,0.0291872327440216,0.00245338171575891,0.0341754132647441,0.0541624663121024,0.00122011404804025,0.00142851517531787,-360.065811601531
22,0.00255806738656259,0.0343682748010809,0.00142533100696213,0.00100555943105599,0.0108867897045846,0.001163025167817,0.0336834827487031,0.0483567079583327,0.0017166051993982,0.00184922709309616,-360.396098540051
23,0.00173719156031227,0.0342182085846914,0.0033736431216124,0.00127407358540766,0.0284540929303217,0.00207140153489834,0.0224132496527225,0.0440500585484201,0.00192390792378345,0.00174076042765692,-360.183110813416
24,0.00141841032097785,0.0376508297008738,0.00212143698486859,0.00158836567632571,0.0265537260721444,0.00256469871921525,0.0309383974075894,0.046591318693024,0.00677879516425425,0.0018860430915712,-360.246118828089
25,0.00539190899710927,0.0189305680301567,0.00323679730007991,0.0057240810529883,0.0238503503214484,0.0021398398579413,0.0297744449591154,0.0418775531639026,0.00789276656837229,0.00274238629517376,-362.332796768238
26,0.00253517688039484,0.0198334371020462,0.00339702651967327,0.00352541251972596,0.0249120768959387,0.00340816553083385,0.0222948477362452,0.0417614414296139,0.0232228150072159,0.00137565685845777,-369.425182696941
27,0.00106126868206324,0.0147726077239205,0.00135257948527107,0.00876108201127363,0.0228785450896529,0.00113578279687759,0.0253733167292498,0.0398107034297193,0.00353524839270749,0.000895053223484958,-360.617188267259
28,0.00897732305425629,0.0252139992475072,0.000396680073433552,0.00659396023797608,0.0180990428504121,0.00517046592552332,0.0484350331885903,0.0416615448174375,0.00412624645497409,0.00098838045343106,-364.686691479307
29,0.00937796633785184,0.01156264474553,0.000797388633623349,0.00123224025547926,0.0112539230784253,0.00120875651682083,0.0306936307259762,0.0439135359070357,0.00189986103565328,0.0044925588259911,-363.567455188033
30,0.00881013034949507,0.0151063702062148,0.00111967338382986,0.00162974620746276,0.0171154215926968,0.00204083804460345,0.0217362697470929,0.0545305954399327,0.0060832039310953,0.00253794452434764,-361.471530013245
31,0.00641989603442278,0.019953209115131,0.000222117700467011,0.000283497676146464,0.0158671983355215,0.00181313681519636,0.0297028475972059,0.0362584336174487,0.00438655507151265,0.000998293909141593,-356.914658604301
32,0.00351969064558606,0.0343614586886357,0.00093574974262225,0.000985275031491661,0.0250877239057149,0.00565876955582744,0.0198931468405321,0.0422402957925936,0.00352563289910067,0.000318174525447504,-360.586948675823
33,0.00383215382116019,0.0341961218283353,6.48715705142006e-05,0.00119095667748265,0.0211391327463697,6.09315283539628e-05,0.0322531009534785,0.0478715809158556,0.00399481672231807,0.00191820452173711,-358.564459144684
34,0.0075203523185913,0.0284435716942608,0.00102056898655208,3.63911603075656e-05,0.0209272994445872,0.00613629632745806,0.0330763470389543,0.0505746331565604,0.00235584713803009,0.0012880104434755,-358.899699532512
35,0.00183534520985092,0.0153686390955585,0.000913530242491447,0.00301608953266241,0.0243457911394212,0.00251653347743876,0.033589874639709,0.0553053349967578,0.00379960407055927,0.000238392780478632,-362.112281414498
36,0.0124600811046265,0.0205911320456056,0.000820461495542863,0.0112224034487628,0.0291520232703326,0.00188064596347789,0.0177517510937665,0.0555901129728358,0.00445797264520171,0.000961096461801733,-365.874800241955
37,0.0112319678265922,0.0325466005150254,0.00260826112808111,0.0053302062137928,0.0281101235357127,0.00184438493433519,0.0228943416018783,0.0536905524486672,0.00495798995127742,0.00528499986500773,-367.372747562297
38,0.0104582974065461,0.0311112166474205,0.000421232512737387,0.00209999785802025,0.0274002928303589,0.00321654353869121,0.0418746347314858,0.0429984570685279,0.00456913189731419,0.00281871360023367,-362.912029627443
39,0.00825160618863547,0.024090785500982,0.00309032162321575,0.00148698653142272,0.0154356817314741,0.00271377951663134,0.0390074368544403,0.0485361869362325,0.00136566432755516,0.0026284500191115,-361.991877077248
40,0.00644500443740337,0.0259326085901906,0.00277401575145212,0.00183398666459783,0.0184276227051423,0.00278462956776325,0.017549173354081,0.0433634291931659,0.00230658744158215,0.000946600609320735,-360.152233300883
41,0.00367693430906227,0.0218186102851078,0.00274210724520722,0.000736193575865801,0.0183121416387053,0.00337357457262768,0.0230505512322668,0.0466749794502815,0.00508697277038806,0.00216460248653726,-358.940607578778
42,0.00362774896788335,0.033297465965337,0.00102760169915814,0.000733320088620082,0.0156381632858005,0.0019007875714036,0.0279433630084452,0.0465039322604499,0.00654389164980538,0.000941975803319869,-357.258387876612
43,0.00209574313466477,0.0219566584662976,0.00199012602238433,0.00282861950640705,0.0197881446171501,0.00211155296548764,0.0237002907266167,0.0543435551019391,0.00968858004174959,0.00182105142351282,-361.326115576213
44,0.00183113405926018,0.0174549879892003,0.00258983660347256,0.0157298949207753,0.0189473562944504,0.00280380840817998,0.0284909354154005,0.0504054508112223,0.0117784563208912,0.00118061223865783,-367.120463938631
45,0.00219896414597226,0.011729439339035,0.00291758060369648,0.00173874391528494,0.0233203881936373,0.000705460740890386,0.0327183522047877,0.0484938004273598,0.0184417150986079,0.00209112810971424,-367.929692499481
46,0.00924775357133846,0.0127618667731105,0.000968276734920035,0.00400406601274336,0.0196760847612383,0.00332403495195548,0.0360624490749308,0.0417383452004531,0.0125759022920862,0.00228619427927761,-365.685873862536
47,0.0108411335451913,0.0250639140845934,0.000374037082180988,0.00147554006590287,0.0193626124721118,0.00222977400208023,0.0285994090184182,0.0418506486790829,0.00877324589082084,0.000300784447580899,-360.16955238791
48,0.000726448884600696,0.0329698168325604,0.00290813952708141,0.000526075308219277,0.0261223095522969,0.000837081942794531,0.0375824479576058,0.0430812332031689,0.00298009854192618,0.000917457489188636,-359.11015382399
49,0.0026185382612264,0.0227802119444858,0.00123194242795579,0.000866171177984553,0.0219164478990684,0.00301258239336236,0.03895370482855,0.0481196976154729,0.00408855640858174,0.000290427448359787,-358.469147249435
50,0.00317679236957312,0.0271551729834643,0.00106265950818279,0.00127613124368163,0.0241444145044749,0.00140406571448216,0.0357539019876746,0.0498714849944154,0.00513079546394278,0.00315497226056833,-358.18294105995
51,0.00198119802105417,0.0353240865652122,0.00234301072067783,0.000243491279920822,0.0279736536143766,0.00203097469599889,0.0476648303987669,0.0594837326013456,0.00718224852711736,0.00472889503282186,-364.506922550952
52,0.00188276735482401,0.0259285504651609,0.000431187149442378,0.000694826209538298,0.0149513761902769,0.00441979870871804,0.0307723546822763,0.0462350118710197,0.00917612982666522,0.00488288375402228,-361.841154314718
53,0.00765264103453887,0.0277886975947445,3.39855522293926e-05,0.000926959659981943,0.0198584442592812,0.00370332274938539,0.0226416918174813,0.0416844187297809,0.00489636422082703,0.00584571395407454,-359.947502942628
54,0.0095667849530337,0.0344515935702565,0.000700016886760168,0.00147068266974197,0.0219579066032419,0.00182640172171109,0.0291185131579765,0.0437386543432812,0.00480069633617486,0.00634516487963274,-362.187822773015
55,0.00247905574873265,0.0302974949999954,0.000606944975744144,0.000354561776989873,0.0200910306830588,0.00149679762144029,0.0206816477963743,0.0449289767377968,0.0027701810942953,0.00444742773402113,-357.708803940922
56,0.00277482136478088,0.0222512401755741,0.000198392438355989,0.00173546274773253,0.0243650024828042,0.0016097033229771,0.0237828393626223,0.0367745154262268,0.00164621716484701,0.00281377169079692,-358.550969737259
57,0.00663889160334101,0.0339035305911726,0.00075814307147959,0.000157012540466856,0.0176137699338669,0.00451471346916488,0.04034333553692,0.0556444726441724,0.00565266910763671,0.00333296751681765,-360.497596562917
58,0.0133157084236148,0.0233464464376871,0.000658402624464936,0.000380774785341272,0.0160070762373879,0.00180548744480699,0.0206807382660994,0.0467569999114317,0.00387377994554872,0.00223912842100968,-359.297516520905
59,0.00941448635043649,0.0200500600653333,0.000264255900824632,0.000575738480192283,0.0136350976272286,0.00289276985941845,0.0339469991181447,0.0382507559144072,0.00324251353201282,0.00345595606922658,-359.666781495943
