"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0911093952421475,0.289521036588265,0.0167988342919216,0.00521096900756271,0.10456812840439,0.0224673353647346,0.00494190064864904,0.0148664904629037,0.038589593056854,0.000518910919844802,-1285.48773958291
2,0.0529996311630037,0.247758117310341,0.0200890799264773,0.00175290766555841,0.0481407978727664,0.028400264390638,0.000510389381340036,0.0116033142652241,0.0200997291227594,0.0101643165439479,-1244.56244890273
3,0.0320586370292932,0.158055718613988,0.0436895861215205,0.000604934010336115,0.0661628728220576,0.00747655273316658,0.000325226348363193,0.0102073562023024,0.0282062417550869,0.00778618504872596,-1212.77076873684
4,0.0291477888115938,0.08190038190013,0.0225440979684303,0.00237469475440611,0.0631112727385697,0.00183684641031869,0.000356307945314642,0.0117074343067774,0.0461992812369527,0.0114107907111006,-1199.44397262769
5,0.029320274188108,0.0695956678703817,0.00265150595373885,0.010500373714508,0.053820172138677,0.0108094983448937,0.000190491745645947,0.014566000154174,0.0425573710681581,0.00469695716588486,-1201.38126611361
6,0.0338774733057816,0.122206070708958,0.0357952543560483,0.00487054540284271,0.0563323390615242,0.010609744601523,0.000102784001868394,0.00955701661357314,0.0406058414458698,0.00965553919724906,-1203.81602971998
7,0.0113042488065381,0.102911818949763,0.00197688965372072,0.00118188586349421,0.0555405606318137,0.00816843427222354,0.000312518894014423,0.0179599836205505,0.0468276196136526,0.00182431885260361,-1197.8882859543
8,0.0243181651127021,0.0825664812369497,0.0215961160268283,0.00298918954166839,0.0558264165602587,0.00108855152911362,0.000201046048400933,0.0258679613462089,0.0553868756182592,0.00047930121603465,-1199.11670426131
9,0.0184685607669277,0.099383666990393,0.026835347576641,0.0135835220811076,0.0652765550751659,0.0392214562287375,0.000423961070133569,0.0512216450974137,0.060915219510765,0.00114081022074461,-1206.77210259257
10,0.0277510462326574,0.0828048132350978,0.000181601320491159,0.00273061452053941,0.0570930706135928,0.0214444376771013,0.000385673167289712,0.0192503615977969,0.0467125368804869,0.00311198485307155,-1199.01829887074
11,0.0299717751148888,0.110884591324551,0.00161471629897357,0.0128510326350737,0.0552766142356825,0.0348200445375269,7.70533075967706e-05,0.0139492840253436,0.0577550603294328,0.000834002803798651,-1201.88068768584
12,0.00939062114021982,0.105126723916858,0.0179818310501541,0.0162271537623952,0.0525447320972706,0.0230320054126676,0.000147218637916511,0.0288516006517919,0.055960476916521,0.00487136341360841,-1203.25721957203
13,0.0128512090140713,0.119890830897945,0.0164138294421561,0.00511327327157374,0.0545215859965619,0.0199792704243107,0.000711099857503877,0.0281548786549177,0.047596097051141,0.00838809124411664,-1203.34125611871
14,0.0194762981502171,0.0930239765119814,0.0344131697286863,0.00376510496984101,0.0604857792969355,0.0296862967298438,0.0009596952355881,0.00025556161911468,0.0456900626554497,0.00800431641000487,-1201.97832275844
15,0.0293501238058051,0.0786253830030355,0.00235786705959259,0.0484973628484881,0.0686769620757128,0.0148967834209684,0.00132960006407359,0.00866161865010977,0.0473225860249386,0.0170438864984015,-1205.56210076314
16,0.0215697137345011,0.0849735716825943,0.00359103758635058,0.0383260162616029,0.0470191286526422,0.00304290721628015,0.00129833310314235,0.0738829898533324,0.0542499889113875,0.0256986949200232,-1208.7954450023
17,0.0292100209164343,0.0791719258533968,0.00127804711909266,0.00635272395692085,0.0702602102037425,0.00103756288388034,0.00114785546810913,0.0172937260625971,0.0562283824095253,0.0161613881445861,-1201.73335821771
