"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0201452913384821,0.0388647088072238,0.029113013742429,0.0139268863408626,0.0758158572700603,0.0367796146874573,0.0171427580284068,0.303934514039426,0.0224439599823478,0.00191397746262856,-816.849233713514
2,0.0262219950025633,0.029055282766292,0.00793002512997307,0.00251041628577259,0.055219361611238,0.0273189618544222,0.0146314778609363,0.103790831179828,0.0133956420133277,0.0108927283815743,-796.945290725532
3,0.0225786233258166,0.0193972648248352,0.0265815077845105,0.00109505659590806,0.0498932417788667,0.0103269020982452,0.011011028412336,0.171814646421093,0.0179808965266262,0.00505727483730883,-778.984102399613
4,0.0190767285828388,0.0378982369749091,0.0497451016024978,0.00548244390446149,0.0383542761959236,0.00372222276111346,0.0105804651258033,0.208854527234204,0.0162670171837206,0.000645397911998341,-778.442772281626
5,0.0174234603201174,0.0241721298338772,0.0308687989768381,0.000719841560872797,0.038043496164307,0.00371861922860146,0.00730654716313114,0.20510511423068,0.0253205222887531,0.00200347322821477,-773.467456850777
6,0.0139580354063098,0.0249916003452614,0.0291835092135027,0.000140792324231802,0.0433018932337768,0.0112942932153436,0.00418908073052877,0.113117196873509,0.0232990804986044,0.00192389012271345,-768.777083970355
7,0.0146089792252501,0.0248395743202703,0.0259391279685269,0.000832140544537579,0.0442338161659667,0.0137126911597245,0.00167413977169202,0.114992510321626,0.0223234251181396,0.00269492092766154,-766.682134552192
8,0.0246457779136513,0.0222611810630739,0.0164125194361969,0.000813725531128183,0.0427802858810326,0.00891279243741967,0.00103113599352266,0.140969883859944,0.0188937709141995,0.00361711729708345,-764.258747598025
9,0.0240749288726468,0.0299959485567033,0.0239458451422647,0.00289259809857307,0.0385293125191128,0.00148845823526085,0.00128375489729892,0.108679413507868,0.0184403265306431,7.07909228396601e-05,-761.337117629781
10,0.0251278879028609,0.0319110754078222,0.0518454263948326,0.00163718056774172,0.0433894952458356,0.00182655642803408,0.00181550791812897,0.119604862266723,0.0174916722184163,0.00341284120365521,-764.297891021539
11,0.011740488638925,0.0285561726319323,0.0459441372032563,0.00574490058142616,0.0408923652614893,0.00104016981661744,0.00117516190071332,0.126787830917777,0.0218123949726556,0.00943355613454651,-764.068696860788
12,0.0262161523491692,0.031531231861611,0.0506686957490616,0.0106537820712853,0.0416517370851293,0.000743625257791312,0.00110905155026987,0.0898682477419044,0.017104047619434,0.000877232623256065,-765.338832315337
13,0.0252964340375248,0.0204109736966966,0.0424033564423153,0.0356217692790891,0.038986593123121,0.00302748193561802,0.000103976391063052,0.0532885651421018,0.0182598363794853,0.00089785876698298,-766.059767657208
