"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0192408639802781,0.0403155471095806,0.00891453225977892,0.000825621544503655,0.00721397287541814,0.00194357391307421,0.000835709345047517,0.0255274428239395,0.00494569114976838,0.0184545559059936,-1061.4345544236
2,0.0062180489947758,0.0338271304488008,0.0103223023646731,0.00173796167219883,0.00755340551684182,0.00030617886865948,0.000186814957270498,0.0134668621113408,0.0034945075012873,0.0264942303648555,-1011.55820789699
3,0.00428497291929831,0.0158458965167627,0.0121303357647939,0.00875741866355848,0.00842519919822795,0.000277759758864423,0.000227842337169259,0.0121038361510428,0.00389380767698766,0.0242413696094551,-990.780904487491
4,0.00632397655831635,0.0161189768626786,0.0147036714196051,0.00899591905682247,0.00882487556238057,0.001082655580697,7.6145764696201e-05,0.0173069360298673,0.00253427677839889,0.0145018757452546,-990.792799182321
5,0.00561495685638361,0.0177291530995699,0.00148164227044099,0.00344760911083058,0.00913409860877749,0.00199123833365036,0.000121860401912461,0.0150299044808477,0.00267333174556361,0.00627626050947111,-984.789678450317
6,0.00346864367903337,0.0204507937010867,0.000159591897112578,0.00252436424921026,0.00830611093682994,0.00300961772110001,5.0327729929451e-05,0.000796018400961193,0.00272324192813861,0.00121529657549545,-980.170823967132
7,0.00368290332591748,0.0205871128662333,0.000488108610550654,0.00583935024190853,0.00890713219680041,0.00126142249306622,0.000102500056713197,0.00402881106595236,0.00311732846094,0.00255298005261295,-981.339550653042
8,0.00399901089929524,0.0207586281969329,0.00093360437242555,0.0058810361429613,0.00721574278029978,0.00197364218684652,0.000229307197156568,0.0199728705619092,0.00285779228787355,0.0026266236413378,-986.883249818475
9,0.00294347674538266,0.0174265016883328,0.00157439003180948,0.00598589793434887,0.00856513736691404,0.00132654744308895,0.00018101361318676,0.0193584025825517,0.00474007476732538,0.00411737564745631,-987.091451501359
10,0.00482808945819774,0.0188179390594443,8.18668798547767e-05,0.00500141079320881,0.00911013725300489,0.00379669572673776,0.00022089935332448,0.000407646544348708,0.0035362636884245,0.00301554479849323,-982.331555511315
11,0.00549198576380275,0.0169764576537438,0.00376183415535825,0.0113461646307698,0.00991000316874896,0.00806003752183275,2.96509149441175e-05,0.000101977792808297,0.00300394196472553,0.00656878944062022,-984.556337050421
12,0.00438147934035656,0.0175489708582546,0.00142583085380258,0.00465926305052043,0.00729035242997034,0.00919581886467941,3.30936974105436e-05,0.0120803422661104,0.00408259466766508,0.0026081035091221,-985.184817151393
13,0.00450047618783206,0.0199445307375536,0.00279752668369769,0.00336436132702585,0.00918955922595575,0.00192517064734652,3.21210549542481e-05,0.00515218657287429,0.00270295503112861,0.00416372094643863,-981.584605927629
14,0.00283572661861356,0.0205394189681249,0.00424785809007437,0.000758815905470289,0.00892461497136227,0.0156959027859441,2.89931842021296e-05,0.00317282599063615,0.00409388925238129,0.00870889176109449,-984.821168598331
15,0.00285065694642581,0.016843143741506,0.00225624502555347,0.000103635004544965,0.00948942137395026,0.0047374484122604,2.88624418176682e-05,0.0181495778604616,0.00478314015391457,0.0123696335029285,-987.513830783185
16,0.00329428629207938,0.015417074648662,0.00744666161639234,0.00220627102385846,0.00921096657091461,0.00448941511555052,0.000178739759507809,0.00209302336933527,0.00359831651122357,0.00391810284379719,-984.548126974844
17,0.00496515043308063,0.0170082157139461,0.00932614948656177,0.00759691705227689,0.0106367521301596,0.00833855503671719,0.000282780783966544,0.00231249380926704,0.00372653104728278,0.00403175561928571,-987.848880738258
18,0.00404866307949718,0.0212830058623996,0.00534422480882506,0.0117016756064298,0.00887420958083183,0.00582716270460441,0.000355004745827783,0.00320297525174131,0.00260189379582401,0.00855568227271383,-987.820532928923
19,0.00232520746488768,0.0196619337858687,0.00140357889460903,0.00610957334713261,0.00963694899249613,0.000518729036086451,8.00799491640202e-05,0.0120594745112513,0.00362878680787889,0.00397420295982885,-983.875615610336
20,0.00177587744617497,0.0201373863346442,0.00553671668746206,0.00849969215251775,0.00968395657110739,0.00114531401678183,0.00034084102646809,0.0107488294342352,0.00266392609007036,0.00220878667403255,-988.087802506806
21,0.00179476534246536,0.0205282213942897,0.00415725071820505,0.00395758712415249,0.00974868450555879,0.000538563523838397,8.29204096740384e-05,0.0144853581294344,0.00416383800952704,0.00445701478966116,-986.474373420565
22,0.00340376640268897,0.0206308519077758,0.00134639530726484,0.000457019319218183,0.00905815545977669,0.00215976291630209,0.000480384095483034,0.0200057123426415,0.0030267512901765,0.0102748312990322,-987.512656289905
23,0.00411212193389208,0.0158942293933265,0.00319682371769744,0.00322043241374631,0.0100491139511242,0.0145910293431493,3.72508938259435e-05,0.0174597554682437,0.00273685530164879,0.00514586689513489,-987.153113425743
24,0.00310939642410017,0.0232257470838146,0.000867642512548575,0.00616254901006179,0.00928271750897741,0.0119448629642606,0.000148440509316627,0.0311916578539263,0.00361767002089698,0.00315553681664376,-990.282823324072
