"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.000281461609425799,0.0209707476698543,0.0104881011211952,0.0202094701589225,0.0119280031158649,0.00993651486136478,0.0120952782498691,0.0161556308839656,0.00170398620970852,0.00896998791781,-261.752755927451
2,0.000968104281337828,0.0193445392908656,0.0199737339042489,0.0263204820142927,0.0100287354357715,0.0128969699854823,0.0121302460155487,0.103459313484447,0.00675122711210928,0.014142878708174,-262.809148275807
3,0.00357604752089953,0.0127762141396426,0.00935639493852902,0.0983961902845535,0.00733623873556442,0.00627621002255924,0.00283157721262101,0.0392996635404571,0.00664110984976198,0.00711989531092568,-247.197354100167
4,0.000753998129861623,0.000538881983894837,6.43315345830813e-05,0.148937580822235,0.0112696612582762,0.0122348766576676,0.00328816149913605,0.0434915375507602,0.00634736963492661,0.0202237967354613,-251.678683252545
5,0.00105477413061044,0.00586980345725143,1.62030438539642e-05,0.0138722599209343,0.00802750225453329,0.042503524231946,0.00328925581764059,0.0260470489141779,0.00463913241693593,0.0722745512597658,-252.913046508517
6,0.00999618677987781,0.00464719332551001,0.000194764767338187,0.00321099322871366,0.0096332152590124,0.0177410086310438,0.000627149382115301,0.0270323192467019,0.00419058229089623,0.00143604977173522,-239.613050264024
7,0.00474565487020161,0.00930043835947324,0.00793827190316586,0.0164404765176659,0.00693463800094427,0.0148866283002123,0.00031221363616407,0.00187741345660609,0.00383358970410379,0.0160327397143127,-233.721311480314
8,0.00392328424251176,0.0126113022619136,0.0140684681562142,0.00843435565915818,0.00756173326876177,0.0151864310925388,0.000329754602008083,0.00199032204009269,0.00337611573960729,0.0207974399043357,-233.354086905224
9,0.00113310518406706,0.0150489484107091,0.018428920470408,0.0351165740059784,0.00918785950237475,0.00503512478026296,0.000281461274864992,0.00307025501659471,0.0022428029790848,0.0121643685940686,-233.373312655403
10,0.00165258538690482,0.0123697672388288,0.0148560349039008,0.00751095376517745,0.00905901955867212,0.000958313520904606,4.58446613101239e-05,0.000690006519310627,0.00249557406800023,0.00266512644101218,-228.587811434122
11,0.0015041413822039,0.0121302658695851,0.00879638204952341,0.00632752254849281,0.00992351002816951,0.00573914651666993,1.68155706734829e-05,0.000949595085388388,0.00404670306041912,0.00753609019937436,-229.563818491271
12,0.00321424989754603,0.0138789954081675,0.00398289233219066,0.0172789316257578,0.0103385322783733,0.0140829152896014,0.000302310726636575,0.00091537349838406,0.00248458232675647,0.00829522051451128,-230.775250168781
13,0.00241641868084156,0.013736766751189,0.0165405661746805,0.00467416114870575,0.00956952104480901,0.0191725894665302,0.000943736171891445,0.00365127329295577,0.00307926730360902,0.0091520387767972,-232.637872690693
14,0.00324266830429505,0.011521761090911,0.00757442302456317,0.00469560344324697,0.0120562029484092,0.0225766188244203,0.000612982274168887,0.0140391623683408,0.00402957533065122,0.00872774795405597,-233.543412314714
15,0.00569865817877936,0.0130486525530756,0.00492885504636775,0.0109153174258599,0.00873761591603846,0.0263861291041533,0.000641347034855543,0.0111126706629932,0.00230127365031869,0.0139600298083685,-234.698466808456
16,0.000733430412145769,0.0142520734705753,0.0187923245452878,0.00948406589121053,0.0145119834255733,0.0064819071331973,0.00049145538227166,0.00314655690417581,0.00234935134399999,0.0192316112853019,-234.556866013679
17,0.000864566310506351,0.010765277555913,0.0195870012032093,0.0255875235379905,0.0104558011763245,0.0102745894412484,0.000512245028976318,0.00139938131258622,0.00197779991118268,0.0366408918700955,-236.109756081121
18,0.00139428239300609,0.012665692163701,0.0441129548062567,0.0284137290853671,0.0140916389608672,8.85080750439143e-05,2.41418074944249e-05,0.00550036068604471,0.00140238841815517,0.0653348363475234,-239.743517708251
19,0.0049032173432059,0.0136350857139429,0.0329885560318962,0.0280133623101689,0.0102840460842713,0.000104227375144417,1.75659157578308e-05,0.00427995531470003,0.00248860395425346,0.0694245268640472,-238.321950630156
20,0.00361985867941249,0.013679553767977,0.0198033135448494,0.0209557626762674,0.0119561657124196,0.00264607027686371,3.37377984403791e-05,0.00130062975049656,0.00271822144774223,0.0893012856364377,-237.866525951417
21,0.00131684391108217,0.0139677419571188,0.0130450162845511,0.0192706410824721,0.0133320793184767,0.00395309707111011,0.000111603516642968,0.00630119302978032,0.0022078439995462,0.017778462875131,-232.438636513396
22,0.00354941693205244,0.00574557838187087,0.00376077584323819,0.00666120077417705,0.0134940671450013,1.15891166040612e-05,0.000373807104103955,0.00412904907875251,0.00201540756442514,0.00788598923988011,-232.151991989997
23,0.00338638025270417,0.00893729224970014,0.0123113698755718,0.0061767635942924,0.00748284203386369,0.0109792330232363,0.000509350693187027,0.00294916784825666,0.0022204800512634,0.0173688412369975,-232.640990224611
24,0.00238401770245365,0.00960776069962385,0.0152516750891061,0.0136696768430715,0.00752208067022743,0.0123274838208234,0.0007963002530582,0.00380139935179727,0.00345640464531341,0.0155441132065837,-234.625312909526
25,0.00285542376988654,0.0164694059458727,0.0165955802640405,0.0122127827240031,0.0130562506208247,0.0270492334935703,0.0010039607351556,0.00390163408350173,0.00364095159206652,0.0116634626198768,-236.22021567683
26,0.00208734421901147,0.0108195502359675,0.0159446586381231,0.00505752004522815,0.0069093775245864,0.0305651467824132,0.00145646863122214,0.0107070744683132,0.00242557216077408,0.0101243085590688,-236.506683378479
27,0.00407212996722689,0.0090998950577839,0.0433338245261496,0.00131113214960852,0.00702899427231897,0.014104208113581,0.000482523201529202,0.0133433157821844,0.00244195323068404,0.00890450028999845,-235.165562923613
28,0.00441738336347464,0.00818244418177967,0.0262974819562446,0.00253315702613577,0.0099532855589049,0.00134798138092202,0.00113604187566311,0.0170879831351333,0.00210647467567873,0.030334799294882,-235.23029731451
29,0.0044131606415464,0.0169241667140436,0.0296200657555099,0.0144281972119918,0.0108413477424529,0.00260349521570482,0.000818230963989442,0.0240074592466054,0.00253657688492895,0.0328920421059544,-238.202233982109
30,0.00372151063564447,0.0135021188657319,0.00848081216688778,0.0161686040143692,0.00778639882131556,0.0282946906508577,0.000653830767565897,0.0486821753163169,0.00231261152925533,0.000691298121122838,-236.689978440752
31,0.00150083125983291,0.0137740842637447,0.00989335227769545,0.0222545899476599,0.0141082758293208,0.0292487807475784,0.000550949492451493,0.0646465085149678,0.00319519793819127,0.00133998266438589,-239.107238940624
32,0.000755839632229717,0.00848116250612954,0.0168410555193442,0.0417771679876994,0.0123210779792975,0.0125468960100993,0.000341588866082804,0.060721157155263,0.00121077443459062,0.000133619906772325,-236.865383847133
33,0.00187789910184135,0.00859876181770213,0.0318909088340059,0.0683760394568711,0.00999208187779417,0.00200325768663022,0.00100235121856965,0.0437253260920009,0.0029439594178516,0.00199961240992754,-236.011208351347
34,0.00513271340760579,0.00751383957821817,0.0330370561537898,0.0394576641969507,0.0128256429085349,0.000756236454921621,0.00146104020626075,0.0541078240225335,0.002200238304413,0.000989606066162529,-237.110775000786
35,0.00454991973642067,0.00917406679255779,0.0367551016765868,0.0388040655775151,0.0122272678866181,0.00115848563295749,0.000833556734792657,0.00885329108634685,0.00274167574979112,0.00757582912251066,-236.214399296942
36,0.00388853727520207,0.01428468177225,0.0267406311000532,0.0406557804597945,0.0124359427296471,0.0298230157181299,0.000262715636380221,0.00793550604491783,0.00175746877549624,0.00395047993231294,-236.982741301584
37,0.00243456599878626,0.0102380438946968,0.00630761447475613,0.0107856941023739,0.00757186053738998,0.0309146848660972,7.07609118417925e-05,0.0130880567495726,0.00135770342549477,0.000170731574752953,-233.199403182035
38,0.0042743812667153,0.0106359271444859,0.00185923973343291,0.010410955299347,0.0147618759225314,0.0349241336098792,5.03627756597722e-05,0.0254638620468411,0.00362044040806831,6.30484272593368e-05,-234.828960687001
39,0.00240099196680496,0.0094520167411814,0.0215777291618696,0.00660006683832702,0.0153020044471097,0.0145870320613877,4.80385242914367e-05,0.00801630619434143,0.00148830125819369,0.00989923826071299,-234.638734251989
40,0.00684496114196931,0.0138644362710226,0.0116705989055044,0.00111971275368749,0.0107850582831242,0.0124331025917819,7.61921408323118e-05,0.00444238728522814,0.00178607144923665,0.0102693517541194,-232.573884933985
41,0.00186101053509719,0.0153839917043616,0.00159862072329727,0.00324118216449217,0.0111486876000826,0.0141955193562662,5.98555695186925e-05,0.00113621375430231,0.00512890609951559,0.0348140712426933,-233.067300200712
42,0.00170873343443258,0.0129369259416493,0.00113767226680733,0.00123535703042573,0.00868343423836693,0.00901189178893517,0.000174356976793212,0.00115366568810877,0.00550093158305526,0.0381908905450173,-233.125553128824
43,0.00204943043831154,0.0128297284040888,0.000543279465525751,0.0294865791322217,0.0104394229774595,0.00496757336023642,0.000892148743232631,0.00597371028776087,0.00447011971042909,0.0235381266903536,-234.376203193266
44,0.00195716215940223,0.0118538883470158,0.0253503902556814,0.0153201663338894,0.0113414068691505,0.00466821249981895,0.000911985262940175,0.00105772450978732,0.0018348292989439,0.0405315562461099,-235.453222751665
45,0.00360444899680123,0.012318510257795,0.00906181451939962,0.00216523818305203,0.00693754168038194,0.0157104481732109,0.000331517547739771,0.00574756257669581,0.00198661609773194,0.00163939860798394,-231.358351788669
46,0.00382881384729235,0.00600418860839477,0.00651809339358574,0.00194933447194732,0.0141277856955425,0.0124139008759878,3.21381037431607e-05,0.00440678169756546,0.00256728728036127,0.0134818694803262,-232.665920356535
47,0.0055918316633273,0.014161667220305,0.00443887242102612,0.00214232106118996,0.00664966617115801,0.00349548401419219,4.09222880708292e-05,0.00976186430922029,0.00266657111613034,0.0165364712603339,-232.658408112776
48,0.0034356947105085,0.0104312345754902,0.0176408694412339,0.00101042580888753,0.0149779272009343,0.00603520996134755,0.000174678794814118,0.000136445539943341,0.00209756115172643,0.0319578152922112,-233.496286734852
49,0.0045770467931812,0.010207598149784,0.0150260568729731,0.00204948600868509,0.00602564321350064,0.0118290151139649,8.93683248897164e-05,0.00190705057322649,0.00249646036617449,0.0195327077385374,-233.093974321564
50,0.00529268529203067,0.0115698889427073,0.000455872968462297,0.0149110723912685,0.0153202328420905,0.0150542629634251,0.000112111695478352,0.000412111242734189,0.00199883985321574,0.00735029366026579,-232.690179064398
51,0.00541094776621008,0.010153220255853,0.00278209663315279,0.00745780195132162,0.0108672236354942,0.0283911862568202,0.000507214855379379,0.00412616236267963,0.00341428661860006,0.00363213149562948,-232.089824534554
52,0.00359742014668942,0.0155659734572114,0.00301298588220077,0.0391508278064835,0.00948555150356152,0.054333830055749,0.000358209450846694,0.00243384066058454,0.00177738738082078,0.0101016125651639,-236.815765257727
53,0.00378456065825142,0.0133148145414077,0.00119858921836927,0.0163440793048521,0.0106664139467774,0.0302926350494254,0.000150987563708489,0.0187252385781337,0.00388556166182043,0.000228019557264887,-233.169436315248
54,0.00248219284673743,0.0131133608285642,0.0054615914813108,0.00184523033418336,0.0141205667718773,0.022247362500252,2.96007142603429e-05,0.00893188669767876,0.000737707459627292,0.000483054261075165,-233.169916630651
