"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.170744266982545,0.134639561878057,0.00733860327531132,0.00630492261381573,0.127321359305285,0.00704634608375465,0.00195720999690269,0.00023357284689138,0.0305114480166366,0.0325397999718663,-1269.41822885298
2,0.0165810184481254,0.0960758197997957,0.0121306871855199,0.0166863954496257,0.0892742273415994,0.0122575925377937,0.000146547155400657,8.97150406295341e-05,0.0504342646692266,0.0198085238738159,-1206.05674645638
3,0.0297505657119084,0.101317407531689,0.00674201319759575,0.021722875360718,0.0422737082577953,0.00352402037182193,9.96126871857721e-05,0.00121889210189352,0.0464876221410659,0.0196774815490513,-1202.77714607587
4,0.0267762243023586,0.0856606975526958,0.020608680372058,0.030922753292381,0.0613604920544051,0.000457078672537529,9.63639670635738e-05,0.016041341279296,0.0580165836568609,0.0175960844422995,-1201.74001398067
5,0.0216018391303414,0.0882841578499927,0.0657739308945766,0.0214333569035013,0.0582413881828328,0.00888060437860057,0.000124406634412102,0.010274945652825,0.0606550530870531,0.00202193684454023,-1203.59745562406
6,0.0148415696730902,0.0946422783838558,0.0598396505855247,0.00284693010109156,0.0550372778812733,0.0133613409848813,0.000402307509628212,0.00538686645436455,0.0579020304959545,0.00304076080011055,-1202.13841047536
7,0.0250843044025896,0.0930323111260709,0.034711979196675,0.00128111052936165,0.0800093964531274,0.00438032158939586,0.000106424208242007,0.00656409300382537,0.0347753621126735,0.00514596635789953,-1203.55040679468
8,0.0161140511661943,0.097749838112503,0.0375587204353344,0.00436676818283596,0.0755045432945021,0.00177752876481029,0.000511905256213035,0.0816818454023862,0.052095214948097,0.00184142975799801,-1205.16485913589
9,0.0140704212602573,0.0986717962412726,0.0198551284593239,0.00269564232369792,0.0723839448498727,0.0094172566498708,0.000335881519451606,0.0657609275462172,0.048185190760601,0.0113524743658271,-1204.02716766413
10,0.0248059569608165,0.0837478961439849,0.0102869583359096,0.00486797578418545,0.0535423359029845,0.0125342647339317,0.000739913393163002,0.0385999577110764,0.0443679589045041,0.00905655206136213,-1202.31375147952
11,0.0177199796583838,0.106616460644708,0.0106462084822659,0.00315170920527551,0.0600404651980702,0.000344850279416769,0.000323835682981751,0.0311261962722386,0.0430977684095403,0.0331482356953852,-1201.31336573686
12,0.021984997311619,0.0808344521140199,0.0233342627910129,0.000566561190662345,0.0499600159160178,0.00112446801005943,0.000598700152968955,0.0243268222666183,0.0535079393556614,0.000483999002298761,-1200.4950457428
13,0.0188150080808345,0.0987362985533918,0.0304278540052275,0.00754117018202698,0.0679513745815803,0.0275603053279876,2.39548742042711e-05,0.0135134827966356,0.0500200280232128,0.00189504167279741,-1201.02090048896
14,0.0172827988690841,0.115219012635899,0.0188513917499828,0.01285069456018,0.0689793795455777,0.000108174880109178,0.000343440458260708,0.0160244115415276,0.0583971446491103,0.00434410779002671,-1201.80150741466
15,0.0227091620553858,0.0926219675780846,0.0229623520192739,0.0217299883164394,0.061258912085804,0.00112670739038565,0.000342067854298852,0.0274216755297029,0.0486767390451726,0.0113076351216909,-1201.18990250954
16,0.0250129285974688,0.0963325181043855,0.0390053827642165,0.0245770949804162,0.0619511002716367,0.000386073639498073,0.000891176896986522,0.00736066509114708,0.0534882847181993,0.00205226581779984,-1201.8404482414
17,0.0133147840115182,0.0835270725112171,0.00117042451842804,0.0188837236939105,0.0556039345110698,0.00784604507884406,0.000526631028809292,0.00405990487740549,0.053448115046028,0.00509452171068323,-1199.26150395374
18,0.0199572247810571,0.106155258691934,0.00792699667232623,0.0202735965018852,0.0620876710668139,0.0187253197601171,0.00144345519279997,0.0159902909721794,0.0498560370066206,0.00176897068247333,-1202.29496793381
19,0.0214444375034621,0.0973733579777168,0.00156007389091708,0.0185544589447137,0.0493665669320655,0.00957368920699571,0.000455968347982675,0.0163982440636845,0.0605236371449467,0.011738135160621,-1201.21051944031
20,0.0123610881840206,0.100408027166425,0.00747010276483471,0.0134213642052444,0.0606684684051044,0.00583642311262316,0.000390841764272635,0.0205043409250011,0.0502691983999359,0.00260307876677225,-1199.20756031322
21,0.0171860757582214,0.0798120784007838,0.00502908319960898,0.00762286202238213,0.0531288341351445,0.0211569238773004,0.00107793860159494,0.0204518436550391,0.0525769098572259,0.00565075789752248,-1202.12132076287
22,0.0110696164659874,0.0843017353955347,0.00542313869476913,0.020941745709063,0.0569130819469024,0.000756336363753637,0.000490773579757632,0.0106245070045143,0.0535173969364541,0.00100121644674949,-1199.79388228828
23,0.0159370619417465,0.0980737584530912,0.0055103568451841,0.0189402801447269,0.0616921827004858,0.00816035389045374,0.00203913146342145,0.100727296940834,0.0558139998441653,0.0166344999766066,-1207.06822884841
24,0.0199499375919169,0.0973468566517963,0.0269763092286713,0.0148485730312974,0.0640195172731449,0.00460509856052423,0.0010656459077416,0.101383141744286,0.043032204113897,0.0228256888765504,-1207.36076891653
25,0.0162093370245392,0.120247088871217,0.0392207830404467,0.00276762201028578,0.0622898502205968,0.00214051611832266,0.00067921718441954,0.0763508497974705,0.0392435642232063,0.0295528003655493,-1207.65755945301
26,0.0129772639750338,0.098514670416643,0.00597771178389486,0.00240136805932166,0.0622477108171278,0.000264609647039208,0.000262550131922533,0.0979748516394162,0.0635829648217162,0.000365314734290698,-1201.39176451393
27,0.020802924374964,0.0980077417813041,0.0211660840401721,0.00542920344575598,0.0576630054537835,0.00249086847850588,0.000188873066349567,0.0778007169022567,0.0652092678378664,0.00678121308993976,-1203.05855616481
28,0.0242262894905663,0.0796690067702515,0.00656121166906782,0.00757122588412509,0.056532512509553,0.00335668931136935,0.000660437606056628,0.103654565211739,0.0478909823480428,0.000832534862480949,-1203.04679935951
