"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0328885414397492,0.019962396007089,0.007527387304344,0.00289802056900791,0.0388824469144795,0.0155830866609527,0.0118274652465358,0.25594486002342,0.0165520046501214,0.00790018524414939,-784.138901737416
2,0.0348985411709122,0.0368375853327328,0.0121750237236651,0.00343536259354911,0.0376763623561409,0.0193821486196272,0.00601359499743416,0.0700535725801325,0.0182264414794329,0.00888931767062824,-780.918866300696
3,0.0126438172779539,0.0299823847087951,0.00522536297523813,0.00840279005090299,0.0309965916094424,0.0109104545094802,0.00493980856934884,0.0943413146256102,0.0138329359191951,0.0146011029993421,-775.598619924415
4,0.0319833308028498,0.0160558404574246,0.0195631174726413,0.00313973051071171,0.0318222887816324,0.00963311796964361,0.00117784229150483,0.0448879075187578,0.0165223542473127,0.00566898905051011,-765.159406240421
5,0.0321897690060449,0.0156477634363323,0.0141517700099991,0.0138359428730079,0.0351473146505217,0.00463753425881051,0.00219017004999736,0.00216523157353328,0.0151144734881847,0.00668212281418031,-765.794356298409
6,0.023102352718027,0.0294067142725219,0.00212722025248079,0.0158992150960243,0.0327429945929539,0.004404264876009,0.000391356367866282,0.00348676793719791,0.0102992155355423,0.0190761087304846,-763.096406683935
7,0.0147779654033359,0.0405883942724248,0.0024070252336918,0.0149110741739033,0.0331929499033796,0.00545956139014086,0.000660516930356434,0.00241078587139164,0.0152848559235957,0.00983512427243993,-762.424609096177
8,0.020837908508197,0.018609600983762,0.00123652375028023,0.00700607256568688,0.0361020167256375,0.00747963311171186,5.73455822087864e-05,0.0201373547341408,0.015485044758157,0.00456062141038311,-758.941513828977
9,0.0295483417586073,0.015932314047509,0.00522316703020335,0.0138479498815679,0.0301727068940625,0.017859983891303,0.000549251372909869,0.00142673189881048,0.0164223688136003,0.00144975176741506,-761.323633312315
10,0.0201785750941703,0.0237770197006066,0.0297184911107763,0.00994174361764527,0.0329765121808821,0.0169012905354402,0.00122915129010095,0.0351478378589012,0.0180032876008064,0.00192996128824818,-765.490915139974
11,0.0178591349342529,0.0139431673832541,0.0234136166877093,0.0134739216537737,0.0362352590571721,0.023049407896787,0.000941089256234651,0.0261154183978128,0.0171878636344687,0.01718413824146,-768.049359084597
12,0.0330889543794853,0.017247191918791,0.00327326162081321,0.00825738965124707,0.0331306680400309,0.0545409020193693,0.00086795098665079,0.019455072419852,0.0137236850721512,0.0125394079123479,-765.657528989035
13,0.0351288508067444,0.0116168784994382,0.00350404442147602,0.0105060687458553,0.0405372143766489,0.005019142354387,0.000652097620495883,0.0121303620318971,0.0153536640937575,0.0256609413856837,-765.784601444888
14,0.0237690409084984,0.038262248313853,0.00282961731031899,0.00221064832030059,0.0377036022208906,0.0356390096854571,0.00065414318116815,0.0298491859294857,0.0147528067683149,0.0435200912733987,-768.245468379416
15,0.0193425154554999,0.0442726600284598,0.0207908647914716,0.00177119014497516,0.0376565930384324,0.0344697495091804,0.000167747610633134,0.0131605509345825,0.0149115099829757,0.0208169971313241,-766.261116828455
16,0.0186363742945719,0.0237224810551547,0.00363397974646175,0.0331676337053256,0.0330559212072576,0.0147404697022892,6.06687071616938e-06,0.0403195734624503,0.0199105780809059,0.00275729950965275,-763.536551717725
17,0.0199923028146927,0.0206607296184809,0.00485251714232133,0.0236953899794847,0.0335214398875164,0.000302349991904608,0.000202839236681444,0.0156798463367613,0.0178979341977305,0.00146271792311642,-759.782468450883
18,0.0175284400063302,0.0210474677378225,0.00627764408724547,0.022460054002477,0.0375454535653269,0.00553715179047886,0.000298876940028308,0.0198061729928978,0.0175313517435231,0.00833147022320923,-761.922603456943
19,0.0172109576771341,0.0208326790027489,0.0135001540904297,0.0194869550212355,0.0334782818378331,0.00110266848879253,0.000148511171403813,0.0027130049500857,0.015630323495789,0.00155012526314181,-759.864204136104
20,0.0353773928276928,0.0219621084431533,0.009137882699668,0.0242480310341956,0.0359307694545681,0.000978590791305994,0.000181549188517064,0.017992529791901,0.0173496917705729,0.00209023059866329,-761.881610641207
21,0.0172516188218281,0.0204217653995453,0.018682907242249,0.00570779344057856,0.0350230727623178,0.0188459716582978,0.000441555244764472,0.000485150161382542,0.0158887446600359,0.00319767779237964,-761.197460788107
22,0.0194180593530245,0.0221801186557711,0.031651711198546,0.000797656719562085,0.0342516756586529,0.0179429047062759,0.00053655078285958,0.00050337842629122,0.0194097528496542,3.58401598345292e-05,-761.544111489051
23,0.0244631406600878,0.0232748904101221,0.0526164331294841,0.0137569522883704,0.0334779742670027,0.0166693214870153,0.000579192106238436,0.00737898651656721,0.0197166832155225,0.000642714427527214,-764.22314738678
24,0.0163567515533618,0.029854054364353,0.0376136903853664,0.0169965903312139,0.0350449528982548,0.0151331544566903,0.000237675695600281,0.00720727993022876,0.0204150786599625,0.00623020921013652,-764.464190276483
25,0.0178434229474476,0.0242714451155678,0.0616298188555734,0.025189884285074,0.03447554361102,0.0116808366182169,0.000602790541169365,0.0277728439852836,0.0158556378180033,0.034046050267669,-768.908241592181
26,0.0288467866697895,0.0172735676451439,0.0320280599368135,0.0305768205712338,0.0316033512830781,0.00889720710818252,0.000346602042695081,0.0320085010204437,0.0152451510263325,0.0211180661225952,-765.545316908753
27,0.0207412816352288,0.0285277846131073,0.0305000439439508,0.00805505290523862,0.0325419998675058,0.0243358796874622,0.00147753189158815,0.0223722569343445,0.0141192657380609,0.025282436227642,-768.209546450507
28,0.0168574713432234,0.0203659656761361,0.0300699521941798,0.00364586333276829,0.0312174509315583,0.0189125841781619,0.000110664124383358,0.0226764761224244,0.0133917529316201,0.00695661312128225,-764.020519678765
29,0.0320870536754745,0.0234794630545115,0.0217223029583805,0.00433282478436429,0.0390971567185694,0.00545264165931478,0.000303991765919172,0.0466812975748127,0.0133744454750734,0.0156525466497816,-764.385237411945
30,0.0332164107521631,0.0190332118153533,0.0145757871981858,0.0130328576626297,0.0382684948762669,0.00565010560102967,0.000297656525039908,0.00158576796718339,0.0146060811885785,0.00956785007223358,-760.887977754347
31,0.0169982194769031,0.0334792141106272,0.0183096057956056,0.00807680606110008,0.0327180680447444,0.0207520667373357,0.000620544592544139,0.0269241965802371,0.0177532054114712,0.00180909039199543,-763.931257833498
32,0.016122775326475,0.0342687114759668,0.0317234138247159,0.00962248245259591,0.031956579825431,0.00690108872495216,0.000458622276556669,0.0240267872337019,0.0150386056870641,0.0516534626017285,-766.764150122848
33,0.0162970328217774,0.0307470890083961,0.00891877240313054,0.0424472785923597,0.0349695296038319,0.0041338334776355,0.00116191787602256,0.0131806002809135,0.0172531096513021,0.00323495909446688,-765.074990271206
34,0.0214370315449274,0.0197397583976237,0.0236213087452341,0.0392402057462723,0.0292746912368768,0.00178480165014642,0.00100772167868333,0.056518922721822,0.0185455160251665,0.00528839716192372,-767.852892852207
35,0.0256162113368869,0.0212639163439243,0.0141459920673556,0.0114597256562716,0.0322278960276532,0.0062587383586017,0.000157979095331784,0.041687705130251,0.0188297637719254,0.00765898410725694,-762.148907663645
36,0.0234531494527976,0.0229635463602723,0.00683249670876261,0.031176019328824,0.0313917001069747,0.00961249097609792,0.000819952104609162,0.0260664231091657,0.0140198581947084,0.0123267740243267,-764.062184636109
37,0.0302850369492603,0.0232608981222069,0.00146554680418659,0.0276482169300275,0.035758532900796,0.021317717375531,0.000554381288821831,0.00736859483399673,0.0203228929038694,0.0258578464542213,-764.840983290657
