"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0149533319057047,0.0365933709752537,0.00576858408102521,0.00262457431659083,0.00854107174717482,0.004419995098683,3.71991964964325e-05,0.00183165061828472,0.00215371033979136,0.00859395289874486,-1028.74829448515
2,0.00430148165653734,0.0258073570983166,0.00274270296660709,0.002269046872299,0.00934142902752462,0.00392539759764998,9.48967494110562e-06,0.00660704162966467,0.00259018482087808,0.00225603647303965,-986.693699616391
3,0.00497715613885179,0.0157596708312418,0.0059303895062471,0.00241758224224746,0.00882152243976251,0.00762299024396641,1.25937835719443e-05,0.00447151193924144,0.00383244421469493,0.0028320117492601,-983.453610629824
4,0.00551415433724197,0.0146156519934354,7.65195072813973e-05,0.00702533546787799,0.00788075065675487,0.0083343143257257,2.20236358179293e-06,0.00988627478311887,0.00426408862606987,0.0070106955332003,-987.409991932768
5,0.00556180947284649,0.0199250806127069,0.00601630434756216,0.0131863514207309,0.00803611448150773,0.00718659625625968,1.01263126070208e-05,0.00675346011348698,0.00399838205709715,0.0025076303543239,-986.259838704053
6,0.00605211356333506,0.0203432628943798,0.00280745269218548,0.00133828847728728,0.00859636160155391,0.0176530053082127,5.56007271143336e-05,0.0030868807847143,0.00334768245590287,0.00125917724192614,-984.903456869216
7,0.0049019656493724,0.0201492917765325,0.00117663334027822,0.00661019042253957,0.00993869979516136,0.0191673637840544,0.000230482321229079,0.00292728484201691,0.00318614412930009,0.00503785675141622,-986.919849386014
8,0.00220022371771726,0.018203005096815,0.00529527568636166,0.00591509977692866,0.0102373800382804,0.00461837491865267,8.70003152941155e-05,0.00558011317318719,0.00371802917015299,0.00701254098981388,-985.629030927886
9,0.00544468169658945,0.0185479951212737,0.00123207930968288,0.000800076189345176,0.00931590849172455,0.0105131809988412,5.77514487501379e-05,0.005865953231089,0.00206840669216383,0.00363956294599544,-984.514102792784
10,0.004791466296051,0.0228887410333472,0.000848404857047126,0.000383304835210675,0.0102627783189447,0.000867046178917893,1.85378494030424e-05,0.00472546638322983,0.00433727555866425,0.0101363172835331,-985.746643170425
11,0.00262612912839337,0.0143402223363313,0.00276562225767012,0.000868178605053875,0.00875030393912877,0.000965711217588647,1.24764012344371e-05,0.0111708383472747,0.00454203141208175,0.00739881221795807,-987.213156508452
12,0.00362552537208759,0.0219637970995457,0.00600031292654096,0.0096473159297308,0.0095167677997404,0.000243848275639338,2.13387307191286e-05,0.00206341654084981,0.00247543020130722,0.0199155065236205,-986.033866629169
13,0.00392442973653431,0.0161536794319529,0.00328114470916794,0.0093509018644471,0.00807900448115379,5.54355021993448e-05,8.48853097501095e-05,0.0230426974046897,0.00414811167075724,0.0160982997906306,-989.005136351518
14,0.00312485554145919,0.0215668364015223,0.00874437918076388,0.00629797800765408,0.00909338862072407,0.000936276069243638,4.99242939109175e-05,0.0121285416506751,0.00317383294414377,0.0160223062691987,-986.477281851748
15,0.00365173315782449,0.0179023016115227,0.00531975411145096,0.00405529612835648,0.00900270375321174,0.00120671690213962,4.06622251901535e-05,0.00967513613970148,0.00322303159223209,0.0161364790651683,-984.180295596638
