"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.00103735698580362,0.00731329710337317,0.00049356090994077,0.0146029044117406,0.0146743349661702,0.0106282620843263,0.00148238165067767,0.00977642797838956,0.00593504910836487,0.00205210171633687,-240.845096962662
2,0.00579356703769479,0.0116296709443984,0.00136225124240723,0.0121842349284912,0.015191697197827,0.000986902830213902,0.000185063204250378,0.0130798293638659,0.006557941431131,0.00224081374704066,-235.949077483077
3,0.00472060076891874,0.0148544178474233,0.00230598386373241,0.00791356839687168,0.0122492357110043,0.00509420068427529,2.62572694610929e-05,0.00954349244601632,0.00256746411482648,0.00298330785113904,-230.544197446001
4,0.00438803283701313,0.0126581908488003,0.00153091561343785,0.00740260462875705,0.0131079806548215,0.00747551137897636,0.000401583661699634,0.0220056796689603,0.00210083672253034,0.0309716685167922,-234.229578606451
5,0.00453079610456804,0.01400374208623,0.00705326252184593,0.00255799883854031,0.0105183887542591,0.0136521531639987,0.000328591870186064,0.00142245839451952,0.00323078007875552,0.0188651810263292,-231.8633666141
6,0.0021848107818662,0.0185143539582516,0.0088834101121699,0.0214468948789159,0.0092593531090665,0.0118123647473033,0.000955660874289343,0.00367655942801944,0.00237829685726451,0.0387448656668859,-236.733446061493
7,0.00352674198957182,0.00948568680274242,0.0264539273992439,0.000165604882356621,0.0117293762045486,0.00585333899363735,0.00166899145216243,0.00757598860622619,0.00140129679641301,0.0301237249232988,-236.611647333406
8,0.00617367958649645,0.0115539594347683,0.00164709637261399,0.00600447106058993,0.00970266685333642,0.0115602537370629,0.00147262182989334,0.0150769288719882,0.00146850163444686,0.000996943065239651,-233.833838118471
9,0.00261249805162559,0.0147080388476561,6.04027920109132e-05,0.0029713184322621,0.00969962419958703,0.0171187012397762,0.000892862878009576,0.0168091711822398,0.00335839833389329,0.0276568663569671,-233.687933819399
10,0.00272924759530025,0.0162868377354496,0.000153183706378014,0.0154544710812366,0.00822575560837955,0.0157255876782375,0.000533076015981205,0.0166891582205826,0.00215032204788296,0.0219320078127278,-233.972455551783
11,0.00197878841418058,0.0104061401941801,0.00232192739821783,0.0212223831003693,0.00923504871606958,0.00984267024864452,0.000623204319085115,0.0011114891533734,0.00227702854889065,0.0444406811677405,-234.424988877774
12,0.00496533502719618,0.00938570351444695,0.00962808226591365,0.00380430945358123,0.0125058505136944,0.00335507818383839,0.000939522460978754,0.000746168784239834,0.00364486000001144,0.00723022681480418,-231.752086550624
